Name,Description
Bayrisch Creme,"This rich, silky egg custard is thickened with gelatin and combined with whipped cream. It is traditionally served cold, and is usually garnished with pieces of fresh fruit or drizzled over with sweet sauces. Although its origins are quite unclear, it is known that Bavarian cream hails from either Germany or France. Many French chefs worked in Bavaria during the 17th and 18th century, so it is believed that they learned the recipe there. Some believe that the dish was invented by a famous French chef Marie-Antoine Carême, who wrote a recipe for it in the early 18th century. Today, Bavarian cream is consumed on its own as a decadent dessert or used as a filling for various cakes and pastries."
Leberwurst,"Leberwurst is a spicy German sausage consisting of a combination of ground pork liver, onions, and spices. The sausage is traditionally consumed with sauerkraut, although it can also be used in sandwiches, where leberwurst is sliced and paired with cheese, mustard, pickles, and bread. It might be cooked, but most leberwurst varieties are spreadable and can be consumed uncooked. Apart from Germany and Austria, this sausage is popular in many other countries such as Slovenia, Serbia, and Romania, and today there are many varieties of leberwurst, with additions such as mushrooms and cowberries."
Kaesespaetzle,"Käsespätzle is a simple noodle dish that combines spätzle noodles with a creamy mixture of melted cheese. The noodles are also called knöpfle, meaning little buttons, and are made with eggs, flour, milk or water, and seasonings such as salt, pepper and (sometimes) nutmeg, while käse refers to the melted cheese mixture, which is usually a combination of two or more types of cheese such as Edam, Gouda, Fontina, Gruyère, Appenzeller, or Emmental cheese. The noodle mixture is typically pressed through a specially designed spoon or colander directly into boiling salted water and cooked until done before it is mixed with the melted cheese. Also referred to as käsknöpfle, the dish is typically enjoyed with additional grated cheese and caramelized onions on top, and typical accompaniments include apple sauce, potato salad, and fresh green salads. Versions of this dish are traditionally consumed in Southern Germany, Swabia, Austria, and Liechtenstein, and it's also a typical dish in Switzerland, Hungary, Alsace, Moselle, and South Tyrol. "
Schweinshaxe,"The term Schweinshaxe is typically used in the southern parts of Germany, predominantly in Bavaria, and it usually refers to a whole pork knuckle that is roasted for hours until it is thoroughly cooked and the skin becomes golden brown and crispy. Pork knuckles are a staple in traditional German cuisine, and they come with various names such as hachse, haxe, haxn, knöchla, hechse, hämmchen, and bötel, mainly depending on the region and a slightly different preparation process. Eisbein is the northern version of the dish that is typically cured or pickled and then boiled. Though it is commonly found in restaurants throughout the country and the region, Schweinshaxe is a quintessential dish at the popular folk festival Oktoberfest. The knuckle is almost always served whole, and it's usually accompanied by sauerkraut, braised cabbage, roasted potatoes, or potato dumplings. Similar dishes are found in other European countries, such as pečené vepřové koleno in the Czech Republic. "
Pumpernickel,"This heavy and slightly sweet rye bread is made from a sourdough starter and coarsely ground rye with whole rye berries as its base. Its name comes from the German pumpern, a synonym for being flatulent, and the male given name Nickel—a form of the name Nicholas—which was commonly associated with the devil in New High German vernacular. Thus, pumpernickel literally translates to ""devil’s fart,"" which is a definition accepted by most publishers and dictionaries, however strange it may sound. The traditional German pumpernickel contains no coloring agents, but instead relies on the Maillard reaction to impart a deep brown color and a sweet, almost chocolatey and earthy flavor and aroma. Apart from being delicious, pumpernickel is rich in resistant starch which is known to aid digestion and benefit blood sugar regulation."
Obazda,"This Bavarian cheese spread was originally invented to make use of ripened soft cheese. It consists of a creamy combination of butter, paprika, and typically Camembert and Brie, or optionally Romadur, Limburger, and sometimes even cottage cheese. The spread is usually enriched with onions or shallots, caraway, or various herbs, while some versions may include beer, wine, or milk-based products. It is believed that obazda was popularized in the 1920s by Katharina Eisenreich, who served it at her Braustuberl pub in Freising. Nowadays, the spread is a Bavarian staple that is served in numerous restaurants and pubs, usually alongside pretzels and various snacks."
Semmelknoedel,"Semmelknödel are popular German bread dumplings–nutritious and convenient, they are one of the most versatile side dishes in traditional German cuisine. Even though there are numerous semmelknödel varieties, which come in various sizes, they all have a recognizable round form and employ bread as the base ingredient. Sliced or diced bread pieces, which can be fried in oil, are usually soaked in plain milk to soften, then mixed with eggs to form a pliable, soft base. Since they are incredibly neutral on their own, bread dumplings are usually mixed with different spices and additional ingredients to form a myriad of flavorful varieties. They commonly include onions and fresh herbs such as parsley or marjoram, but can even withstand strong flavors coming from nutmeg or fresh lemon zest. Even though semmelknödel are mostly served as a complement to various roast meat dishes and stews, they can be enjoyed as a nourishing dish on their own, usually served alongside vegetables and lentils, or doused in creamy mushroom sauces. Various dumplings are omnipresent in many European cuisines, but the invention of semmelknödel has usually been associated with the German region of Bavaria, from where it spread to other parts of Germany and countries such as Austria, Hungary, and the Czech Republic."
Jaegerschnitzel,"Jägerschnitzel is a traditional version of schnitzel that is topped with a gravy called Jägersoße, meaning hunter's sauce. Originally made with venison or wild boar, nowadays the most common types of meat used for this dish are pork or veal. In some regions of Germany, the meat cutlets are not breaded, but simply pounded until thin, then seasoned, and cooked. The delicious gravy that accompanies the schnitzel is made with mushrooms, bacon, onions, a splash of wine, and spices such as thyme, rosemary, salt, and pepper. Spätzle or various potato dishes and salads are most commonly served alongside this dish."
Kartoffelsuppe,"Kartoffelsuppe is a popular German soup made with potatoes as its key ingredient. The soup is usually cooked with the addition of onions, celery, butter, and milk. It is characterized by a very thick consistency. This soup is a specialty of the Baden region, traditionally served at harvest time, when it is often accompanied by plum cake. In other German regions, Kartoffelsuppe is often consumed with steamed dumplings. In some varieties of the soup, such as the Berlin Kartoffelsuppe, it is recommended to garnish the dish with croutons and parsley."
Kaesekuchen,"German-style cheesecake is a traditional dessert consisting of a thin layer of shortcrust pastry that is topped with a creamy combination of quark cheese, eggs, and (occasionally) various fruits. Even though käsekuchen is often compared to the classic American cheesecake, the use of lightly acidic quark cheese results in a light, scrumptious treat that perfectly combines sweet and sour flavors. Usually served dusted with powdered sugar, käsekuchen is a classic German dessert that is commonly enjoyed as an everyday treat alongside coffee or tea."
Wiesn Hendl,"Wiesn Hendl is the Bavarian roasted chicken, traditionally seasoned only with salt and sometimes parsley, then grilled and sold as half a chicken or whole chicken. During the roasting process, the chicken is often doused with melted butter. It can be found in many beer gardens and it is especially popular during Oktoberfest. When served, hendl is usually accompanied by potato salad or large pretzels called brezn."
Spaghettieis,"Spaghettieis is a traditional ice cream that’s made to look like a bowl of spaghetti with tomato sauce and grated parmesan cheese. This dessert was invented in Mannheim, Germany in 1969 by Dario Fontanella, the son of an ice cream making Italian immigrant. In order to prepare it, he pushed vanilla gelato through a spaetzle press on a dollop of whipped cream, then topped it with strawberry syrup and white chocolate shavings. A cookie or wafer is often placed on the side to mimic a piece of Italian bread. Nowadays, spaghettieis can be bought at almost every ice cream parlor, known as eisdiele, because Fontanella didn’t patent his invention. Today, there are different spaghettieis flavors such as banana, chocolate, kiwi, or melon. "
Kartoffelpuffer,"German potato pancakes are a restaurant staple, a homemade classic, and a popular street food snack. They are prepared with a thick batter that employs grated raw potatoes, flour, and eggs, and are usually shaped into flat, round discs that are shortly pan-fried until golden and crispy. Even though they are often served as a complement to stews, grilled meat, and sausages, potato pancakes make an excellent snack or main course. Kartoffelpuffers are traditionally accompanied by creamy apple sauce, fruit preserves, or sour cream."
Baumkuchen,"The German version of spit cake, known as baumkuchen, is just one of many similar cakes found throughout Europe. There are various conflicting theories about its origin—one points in the direction of a German town called Salzwedel in the 19th century, while others say it’s a descendant of the Hungarian wedding cake. The batter–typically made from flour, eggs, sugar, vanilla, salt, and butter–is thinly coated on a spit that’s rotating over a heat source. Before each new layer is applied, the previous one must be fully dry. Once sliced, the cake has a lovely texture and appearance which resembles growth rings, hence its name–baumkuchen or tree cake. The basic dough can be enriched by various ingredients such as nuts, honey, and brandy. The cake is often additionally coated with sugar or chocolate glaze. Miniature, cut up slices of this cake - called baumkuchenspitzen or tree cake tips - are usually glazed in chocolate and sold individually."
Apfelkuchen,"German apple cake is a delightful combination of dense, buttery dough and sliced, halved, or diced apples. Depending on the region, the cake is often dusted with cinnamon sugar, covered in crumbly streusel, or doused in vanilla-flavored custard. Traditionally baked in round tins, sliced apple cake is usually enjoyed as a filling afternoon dessert that is often paired with coffee or tea."
Bratkartoffeln,"Pan-fried potatoes are a classic, versatile German dish that is easily adapted with additional ingredients and comes in different flavor combinations. The potatoes are traditionally diced or sliced, buttered and salted, and can be then combined with bacon, ham, onions, vegetables, and a variety of fresh herbs and spices. The key is to achieve crispy, golden potatoes that stay soft and tender on the inside. Simple and affordable, bratkartoffeln is a common restaurant dish as well as a popular home-cooked meal that is usually served as an accompaniment to roasted or grilled meat, sausages, fish, or fried eggs."
Bockwurst,"Bockwurst is one of the most common sausage varieties enjoyed in Germany. The sausages were originally prepared with finely ground veal, but today they can employ various types of meat and numerous combinations of spices and fresh herbs. They come in different shapes and are usually pale in color. Bockwursts are typically stuffed in natural casings, which makes them perfect for simmering in hot water or grilling. According to a popular belief, they were invented in Berlin in 1889 by a pub owner named Richard Scholtz, who served them alongside bock bier. Today, they are internationally famous and especially favored in Germany and Austria, where they are usually enjoyed with a dollop of mustard, sauerkraut, or boiled potatoes on the side."
Quarkbaellchen,"Quarkbällchen, meaning quark balls, is a traditional snack that is typically made by combining quark, flour, eggs, sugar, vanilla sugar, and baking powder. Milk, melted butter, cinnamon, lemon zest, and corn or potato starch are also sometimes added to the combination. The quark mixture is shaped into small balls which are deep-fried until golden brown on the outside and soft and fluffy on the inside. Once done, the fried balls are usually coated in powdered or granulated sugar or a cinnamon-sugar mixture. Thought to hail from Bavaria, this sweet treat is generally enjoyed as an afternoon snack alongside a cup of tea or coffee. Resembling donuts, quarkbällchen are available in bakeries throughout Germany, and they’re often prepared during the festive Christmas season, New Year’s Eve, Fasching (Germany’s carnival season), and Oktoberfest."
Nuernberger Bratwuerste,"Nürnberger Bratwürste are small, thin sausages originating from the city of Nürnberg in the Franconia region of Bavaria, Germany. They are typically about 7 to 9 centimeters (2.75 to 3.5 inches) long and weigh around 20 to 25 grams each, making them much smaller and thinner compared to other types of German sausages. The sausages are made from finely ground pork, often mixed with a blend of spices that typically includes marjoram, salt, pepper, and sometimes a hint of ginger or nutmeg, with marjoram being a signature ingredient that gives them their distinctive flavor. Nürnberger Bratwürste are usually grilled over a beechwood fire, which imparts a unique, smoky flavor, but they can also be pan-fried or cooked in a skillet. Traditionally, they are served in sets of six, eight, or twelve, often accompanied by sauerkraut or potato salad, or in a bread roll with mustard, known as ""Drei im Weckla"" (three in a roll). These sausages are a traditional delicacy with a history that dates back centuries, and they are protected under European Union law with a Protected Geographical Indication (PGI), meaning they must be produced within the city of Nuremberg to be labeled as Nürnberger Bratwürste."
Blutwurst,"Belonging to the category of cooked sausages, blutwurst is a famous German blood sausage with many regional varieties. It is predominantly made with pork and incorporates animal blood, fat, and meat, next to a wide variety of seasonings such as marjoram, allspice, and thyme. Blutwurst comes in various sizes, and many regional versions include barley, oats, or bread, while some varieties may even consist of diced bacon or innards. Since this blood sausage is typically cooked, it has a firm consistency and is commonly enjoyed as an appetizer alongside other cold cuts. It is usually shortly boiled or fried and served warm, often complemented by mashed potatoes or sauerkraut on the side."
Fischbroetchen,"Fischbrötchen is a commonly consumed sandwich in Northern Germany, made with fish and a variety of other ingredients such as pickles, remoulade, onions, lettuce, or horseradish. The ingredients are typically placed in round or elongated bread buns, while the type of fish used in the sandwich is variable – herring, sprat, salmon, and mackerel are among the most common fish used in the preparation of this sandwich, which is commonly served at fast-food stands in the region."
Kartoffelkloesse,"Kartoffelklöße or kartoffelknödel are traditional German potato dumplings that are consumed all over the country but are especially popular in Bavaria, Thuringia, and the Rhineland area. Depending on the variation, the dumplings may consist of cooked potatoes, raw potatoes, or a combination of both. The potato mixture can further be enhanced with the addition of other ingredients such as beaten eggs, potato starch, cornstarch, or flour, and herbs such as chives or parsley, while some versions also call for filling the dumplings with croutons, sauerkraut, or ham. Potato dumplings typically come in the shape of balls, and they are usually simmered in salted water, although they can optionally be pan-seared in butter for added flavor and texture. A common variation of potato dumplings is the one from Thuringia called Thüringer klöße, a type of dumplings made with raw and cooked potatoes containing a filling of toasted bread cubes. In Germany, potato dumplings are a staple accompaniment to dishes such as roasted and braised meat specialties with sauces, sauerbraten, sauerkraut, braised red cabbage, goulash, and rouladen."
Spanferkel,"Spanferkel is the German version of roasted suckling pig. Whether it is prepared cut or whole, the piglet is usually roasted in the oven or on a spit, and comes in numerous regional varieties that are often smothered in oil or butter, stuffed, then seasoned or rubbed with spices. In Germany, suckling pig is traditionally associated with festive and special occasions and is usually accompanied by a sauce made from meat drippings, or various vegetables and salads."
Frikadelle,"Frikadeller are popular Danish and German meatballs that are usually made with ground pork, with the occasional addition of ground veal. These small meatballs have been prepared and consumed in that part of Europe for more than 200 years. The term frikadelle is German, and there are also many frikadeller sold as street food in Germany, Poland, and throughout Scandinavia. Frikadelle are typically served with boiled potatoes and traditional creamy sauces (for example, Danish brown sauce) on the side, a dish that is usually enjoyed as a hearty weekend meal. Pickled vegetables, mustard, rye bread, potato salad and a variety of other vegetables can also be served alongside frikadeller. However, modern versions use frikadeller in the creation of new dishes such as frikadeller sandwich or frikadeller smørrebrød."
Kartoffelsalat,"Kartoffelsalat is a traditional potato salad hailing from the region of Swabia in Southern Germany. It typically consists of boiled and sliced potatoes, chopped onions, beef broth, white vinegar, oil, mild German mustard, sugar, and pepper. Although the ingredients of this salad are quite simple, they need to be chosen carefully to achieve the best results. Strong beef broth is the most traditional, but chicken or even vegetable stock may also be used instead. As the salad’s flavor is said to improve with time, it is often prepared a day ahead of consumption. Swabian potato salad is traditionally garnished with fresh chives on top, and it typically accompanies German sausages. Kartoffelsalat can be found on the menus of any restaurant in Germany, and it's also regularly available in grocery stores."
Weihnachtsgans,"Weihnachtsgans is a traditional German roasted goose that's prepared for Christmas. The goose is typically filled with onions, prunes, chestnuts, apples, and/or dates. It is also often stuffed with a dough or meat filling. It's seasoned with salt, pepper, thyme, and marjoram in most cases. Once prepared, the goose is served with simple staples such as dumplings, spätzle, red cabbage, and gravy. It's believed that the practice of this dish stems from an old Catholic custom – on St.Martins Day (November 11th), a Martins-goose is prepared, and when the fasting period ends, on Christmas Eve, another goose was prepared to celebrate, called Weihnachtsgans."
Gaensebraten,"Gänsebraten is a traditional roast specialty consisting of a whole goose that has been brined, stuffed, and roasted to perfection. The goose is typically seasoned with various aromatic herbs and spices such as marjoram, thyme, nutmeg, lovage, cloves, or bay leaves, while the stuffing may include ingredients such as apples, onions, chestnuts, almonds, or bread. Slices of succulent roast goose are the best when paired with sides such as braised red cabbage (Rotkohl), gravy, apple puree, potato dumplings (Kartoffelklöße) or bread dumplings (Semmelknödel), potato salad (Kartoffelsalat), roasted chestnuts, sauerkraut, and spätzle. In Germany, roast goose is traditionally prepared for festive occasions, especially for St. Martin’s Day and Christmas Eve. The roast goose specialty that is usually enjoyed on Christmas Eve has its own name - weihnachtgans or Christmas goose - and it is typically accompanied by potato dumplings and braised red cabbage with apples."
Zwiebelkuchen,"Although it translates to onion cake, German zwiebelkuchen is better described as a savory onion pie. The base of the dish is a thin, buttery crust that is usually made with yeasted dough. The center of the pie is filled with a combination of caramelized onions, smoky bacon, and a creamy mixture of eggs and sour cream. The pie is usually spiced with salt, pepper, and caraway seeds, which give the dish a deep and earthy flavor. Even though there are several varieties of zwiebelkuchen, it is traditionally baked as a round deep-dish pie. In the past, this savory delicacy was made with sour milk and plain bread dough–common staples in many German households. Today it comes in many shapes, including the usual flat, rectangular form, and can be adapted with many ingredients such as leeks and cottage cheese. It is commonly prepared at home but can be found in many German restaurants across the country. Zwiebelkuchen is commonly consumed during the annual grape harvest, and it is recommended to pair it with traditional young wines."
Eisbein,"Eisbein is a German dish, traditionally served in Berlin. The name, which when translated means ice leg refers to a pork knuckle or pork hock which is first cured or pickled and then boiled with vegetables and herbs. In Berlin, the hock is served bone-in on a bed of sauerkraut accompanied by mashed potatoes or pea puree, usually with some mustard on the side. A similar dish exists in Poland – the golonka, which was probably influenced by the traditional Berliner eisbein."
Bienenstich,"This classic German cake consists of a creamy filling that is enclosed between two layers of yeasted pastry dough. The cake is topped with a gooey combination of sugar or honey, cream, and slivered almonds, while the fillings typically include sweetened whipped cream or crème pâtissière. When baked, the honey-almond glaze is caramelized and gives the cake a glossy, crispy top. This sweet treat, which translates as bee sting cake, was allegedly named after the fact that bees were attracted to the sweet, honey-based glaze."
Schaeufele,"Schäufele is a traditional dish from the south of Germany, using pig’s shoulder as the main ingredient. Depending on the region, the meat can be cured and smoked beforehand, seasoned, and then it is either roasted or boiled. Additional ingredients may include various spices, onions, and root vegetables. A typical Franconian version of the dish is served with gravy, potato dumplings, and a salad on the side, while the smoked and cured version from Baden is usually accompanied by a potato salad."
Franzbroetchen,"This delicious German sweet pastry is traditionally served with a cup of coffee on the side. Initially made only in the Hamburg area, it is now also available in other German cities. The original recipe for these little pastries includes flour, butter, milk, yeast, and sugar, with a filling consisting of sugar and cinnamon. However, raisins, chocolate, or pumpkin seeds may also be added. The dough is folded multiple times and glazed with butter, developing a sticky coating and rich flavor in the process. The name of this dish is possibly related to the French, who had occupied Hamburg during Napoleon's rule. Alternatively, it is said that a baker from Hamburg once cooked a Franzbrot (French bread) in butter, thus creating the Franzbrötchen. "
Rotkohl,"Rotkohl is a traditional salad and side dish made from red cabbage that is finely shredded and then braised or slow-cooked with ingredients like apples, onions, vinegar, sugar, and various spices such as cloves, bay leaves, and sometimes juniper berries. The dish is known for its sweet and sour flavor, which comes from the combination of sugar and vinegar, and its deep purple color, which can be enhanced by adding a bit of acidic liquid like apple cider vinegar or red wine during cooking. Rotkohl is often served as a side dish, particularly with hearty German meals such as roast pork, sausages, duck, or goose. It's especially popular in the colder months and is a common accompaniment to festive meals during Christmas. "
Knackwurst,"Knackwurst or knockwurst is a preboiled German sausage made from ground pork, beef, or a combination of both. The sausage is heavily seasoned with garlic and has a high fat content. Unlike bratwurst and other similar sausages, knackwurst's casing becomes extra crispy when heated, giving it a different texture and a specific sound when bitten into it. It is recommended to serve the sausage with sauerkraut, potato salad, pickles, mustard, and a glass of cold beer on the side."
Rindergulasch,"Rindsgoulasch is an Austrian and German take on the Hungarian goulash that is considered a staple of Viennese cuisine. It is typically prepared with beef, onions, garlic, powdered paprika, tomato paste, caraway seeds, marjoram, vinegar, salt, and pepper. And if done right, the meat should be tender and the gravy dark, smooth, and thick. Once all ingredients are sauteed, either water, stock, or red wine is added, and the goulash is cooked for hours until the meat is exceptionally tender. However, variations abound, and recipes usually differ in the number and type of spices used, the order in which the ingredients are added and sauteed, and the type of liquid used. Rindsgoulasch is typically served with potatoes, spätzle, various dumplings, and even homemade bread."
Kassler,"Kassler is a traditional Oktoberfest dish made with cured and smoked pork. The meat is usually smoked with alder or beechwood. When served, pork is almost always accompanied by sauerkraut and mashed or boiled potatoes on the side. The origin of the name is still unknown, although some claim that it was named after a Berlin-based butcher called Cassel in the 19th century."
Steckerlfisch,"Steckerlfisch (from steckerl, meaning a small pole or a stick in Bavarian) is a staple fish specialty in beer gardens and at folk fests and fairs throughout Germany, especially in the regions of Bavaria and Franconia. It consists of a whole fish that’s been gutted and cleaned, then threaded on a stick and grilled over hot embers. Although early versions typically used freshwater white fish and trout, the selection of fish expanded with time, and it nowadays includes saltwater fish too, with mackerel as the most prominent choice. The fish is typically either marinated or dusted with seasoned flour before cooking and once done, it is usually served in paper. This specialty is generally enjoyed with just a squeeze of fresh lemon juice, although it may sometimes be served brushed with olive oil and stuffed with thin lemon slices. When served on a plate, the grilled fish is typically accompanied by a fresh Bavarian pretzel or bretzen as it is called in Bavaria, and lemon wedges on the side. Considered the ultimate beer snack, steckerlfisch is the perfect accompaniment to a cold lager beer such as the German Augustiner. This fish dish is also a beloved specialty in Austria, and since it is a quintessential food item (and a firm favorite) at Oktoberfest, it is also commonly known as Oktoberfest fish on a stick."
