Name,Description
Bock,"Bock beer is a German bottom fermenting lager that nowadays comes in a wide range of sub-styles. Traditional versions may range from golden to amber, and sometimes even dark brown. They are typically lightly hopped, rich, creamy, smooth, and malty, with toasty and occasionally caramel notes. Alcohol content falls within the ABV range of 6.3 to 7.6%, and the beer is traditionally served in a tulip glass. Its origin dates back to the fourteenth century and the city of Einbeck where the beer was brewed by certified master brewers who followed a unique set of quality standards which were established by the city council. By the seventeenth century, the beer gained in popularity and was especially favored in Munich, where it was originally named Ainpöckische Bier—which later led to the corruption of the name, initially as Oanpock and then as Bockbier (bock beer). Translated from German, bock stands for Billy goat, which was subsequently often used in advertisements and as a common logo for bock beer. The most common sub-styles of bock bier include Maibock, Doppelbock, Eisbock, and Weizenbock. Bock beer pairs well with hearty German dishes, soft and matured cheeses, spicy dishes, roasted or fried meat, and sausages. "
Rauchbier,"Rauchbier is a German beer style that is associated with Franconia and the city of Bamberg. Translated as smoked beer, the style is made with smoked malt, and it initially appeared in the 14th century. At the time, using smoked malt was the standard, but the invention of drum kiln, which allowed for the malt to be dried without the exposure to the open flame, became the preferred technique in the 1880s. However, the tradition remained in Bamberg, where the brewers stuck to the old tradition of producing beers with distinctive smoky elements. Nowadays, the style is almost synonymous with two Bamberg-based breweries: Schlenkerla and Spezial. These amber lagers are usually clean and clear with medium hop bitterness, while the aromas and flavors include a combination of smoke and malt. These beers are a great pairing with smoked or grilled meat, sausages, roasts, stews, flavorful cheese varieties. They can also be a good match with desserts."
Apfelwein,"Apfelwein is a traditional cider that is generally associated with Frankfurt and the state of Hesse. It is mainly made from cooking or dessert apples, and it comes in several styles, though dry (trocken) is the most common. German cider is usually light and tart with an alcohol content that generally falls between 5 to 7% ABV. Apfelwein has a long tradition in Hesse, but it became a household name in the 19th century, and it is now considered a signature regional drink. It is traditionally served in diamond-patterned glasses known as gerippte. Allegedly, this pattern was invented because people often used their hands while eating, and the ribbed design allowed them to have a better hold of the glass. When served communal style, it will come served in a bembel—a decorated clay pitcher that comes in several sizes. The standard serving size is 0.30-liter (10-oz). Although it is usually enjoyed neat, apfelwein can be mixed with soda (sauergespritzer), and in the wintertime, it is sometimes heated and flavored with cinnamon and cloves. Apart from Hesse, apfelwein is also produced in Baden-Württemberg, Rhineland-Palatinate, Saarland, and Bavaria. The only protected variety is Hessischer Apfelwein."
Kraeuterlikoer,"The term kräuterlikör denotes different types of European herb liqueurs, predominantly German, which are also known as halbbitter (half bitters). They appeared soon after the introduction of distillation and were primarily invented as medical remedies. The most notable kräuterlikör brands include Jägermeister, Underberg, Becherovka, Unicum, Riga Black Balsam, Killepitsch, Kuemmerling, and Aromatique. Although all varieties can be incorporated into cocktails and long drinks, they are traditionally enjoyed well-chilled and neat, preferably as a digestif."
Doppelbock,"Doppelbock is a German beer style that was first brewed in Munich by Paulaner monks. As the name might suggest—doppel translates as double—this style developed as a slightly stronger version of traditional German bock style. Doppelbock beers are usually medium-bodied with a color that ranges from golden to dark brown. They are rich and smooth with a distinctive malt sweetness that is balanced with subtle hop bitterness. Typical aromas include bread and toasty notes that can be accompanied by subtle hints of caramel. These beers usually have a slightly higher alcohol content that ranges from 7 to 8% ABV, but the finish should not be harsh or overpowering. It is recommended to pair them with pork, game, aged cheese, or chocolate desserts. "
Maerzen,"Märzen is a German beer style from Bavaria that is closely connected with Oktoberfestbier and shares some similarities with Vienna lager. This style officially appeared in 1841 when it was brewed by Spaten brewery, but a similar style existed well before that. Märzen is an amber-colored lager that has toasty malt aromas and flavors, dry finish, crisp hop bitterness, and a medium body. Original versions of these beers were somewhat darker, and as the name suggests—Märzen translates as March—they were brewed in March and then left to lager until early fall. These versions were stronger and had more body than modern styles. Since it was available in autumn, it was first served during Oktoberfest. Although Märzen and Oktoberfestbier share many similarities, nowadays only six breweries in Germany—Augustiner, Hacker-Pschorr, Hofbräuhaus, Löwenbräu, Paulaner, and Spaten—are allowed to use the designation Oktoberfestbier and serve their brews at Oktoberfest. Märzen is a food-friendly beer that works especially well with grilled, roasted, or smoked meat."
Schwarzbier,"Schwarzbier is a German dark lager style. These beers are not overly powerful or harsh, and they tend to be smooth and refreshing. The use of malted barley will give them a lightly roasted malt backbone that is accompanied by hints of chocolate, nuts, toast, and caramel. The finish is dry, clean and crisp, while hop bitterness is subtle and in good balance with its malty character. These beers would pair well with sausages, roasted or barbecued meat, washed-rind cheese varieties, and chocolate or fruit desserts. Schwarzbier is often quoted as one of the oldest beer styles in the world. Though the first written reference dates to 1390 Braunschweig (Brunswick), the true origin is believed to be in southeastern Germany, namely in Kulmbach, where archeological evidence of brewing similar beer was found in Iron Age Celtic tombs which date back to 800 BC. "
Berliner Weisse,"Berliner Weisse is a wheat beer that is characterized by low alcohol content, sour flavor, and a light body. Most representatives of the style are soured with the use of lactic acid bacteria, which gives the beer its specific funky, tart, and fizzy character. The origin of Berliner Weisse is unclear. Although there are several theories explaining its origin, the most probable claims that the style evolved from the now-extinct Breyhan or Broyhan beer from Hannover. Weisse was especially popular in the 19th century, and it is even said that when Napoleon encountered this beer style in Germany, he named it the Champagne of the north. By the late 1990s, the style almost disappeared, but lately it has been slowly revived, mostly by craft breweries. In Germany, these wheat beers are often served with raspberry (himbeer) or woodruff (waldmeister) sugar syrups. To mellow it down, sometimes the beer is also mixed with pilsner. Following this tradition, many modern brews may incorporate various fruit. Because of its crisp and refreshing flavor, Berlin Weisse beer is a food-friendly beer that goes well with a variety of dishes. Unsweetened versions would match fruit desserts, goat cheese, and salty snacks."
Altbier,"Altbier, meaning old beer, is a German beer style which originated in Düsseldorf. The style falls somewhere between a lager and an ale—the beers are fermented warm like ales but are then aged cool like lagers. The name altbier, which originated in the 1880s, refers to the traditional brewing process of using top-fermenting yeasts. The name arose to distinguish traditional brews from the new lagers that were mainly produced in Bavaria. Before that, it was simply known as bier. These full-bodied beers are typically malty, clean and crisp, while their color may range from copper to amber. They often have nutty and toasty aromas, with subtle fruity and peppery notes. Remaining complex without being too heavy, these beers can match roasted chicken or pork, different sausages, smoked salmon or grilled tuna as well as full-flavored and aged cheeses. Some varieties may even be a good match to apple, pear, or walnut-based desserts. Traditionally, altbier is served in a tall, straight glass."
Oktoberfestbier,"Oktoberfestbier is a protected designation used by six Munich breweries that serve their beer at Oktoberfest—the biggest beer festival in the world. The breweries include Augustiner, Hacker-Pschorr, Hofbräu, Löwenbräu, Paulaner, and Spaten. The beer that is served at the festival and which is labeled as Oktoberfestbier is usually synonymous with Märzen beer style, a smooth and malty lager with a light hop character. Their alcohol content typically varies from 5.5 to 6.2% ABV. Oktoberfest beer has to be produced in Munich, and it must be brewed according to the Bavarian Beer Purity Law, which was first introduced in 1487."
Dortmunder Export,"Dortmunder Export is a German beer style that was first brewed in the late 19th century. Named after the city where it originated, this beer style was modeled on pilsners, and it was primarily invented as a thirst-quenching brew for local industrial workers. Dortmunder is a pale and clear lager that has a bitter base and a good balance of malty sweetness and hop flavors. These beers come off smooth and malty, but at the same time, they remain crisp, easy-drinking, and refreshing. They typically range from 5 to 6% ABV. Serve them with pork, salads, seafood, or spicy dishes."
Weizenbock,"Weizenbock is a German beer style that was introduced in 1907 by the Schneider Weisse Brauhaus brewery located in Munich. Weizenbock was supposed to be a middle-ground between the rich and malty doppelbock and wheat beer (weissbier) that was popular at the time. The style comes in a pale and slightly darker version. Although both styles have a distinctive malt backbone, darker versions may have a richer malt profile and heavier toasty expressions with possible hints of caramel flavors and aromas of raisins and plums. Lighter varieties will usually have light toastiness and sweeter malt character. The style will also often display nuances of cloves and banana-like esters. Darker weizenbock beers are a better match with red meat, game, lamb, and stews, while lighter versions will better work will poultry, pork, and sausages. Both styles pair well with aged cheese and a variety of desserts."
Kirschwasser,"This clear, colorless fruit brandy is double-distilled from the fermented cherry mash. Because it was originally produced with sour morello cherries, it is believed that it first appeared in Schwarzwald, Germany, where the morello cherries were traditionally cultivated. The drink is mainly produced in Germany, Austria, Alsace, and Switzerland, with various, local cherry varieties. Because cherry pits are also crushed in the process, kirschwasser is characterized by its cherry notes, pungent flavor, and mild bitter-sweet finish. It can be served as an aperitif or a digestif, preferably well-chilled and over ice, but it also incorporates well into cocktails, desserts, cheese fondue, or even espresso."
Club-Mate,"Club-Mate is a caffeinated soft drink made from mate-extract, an infusion of dried yerba mate leaves. Compared to other soft drinks, it has a relatively low sugar content and a caffeine content of 20 mg per 100ml. It was originally formulated and marketed by Geola Beverages of Dietenhofen, Germany. Today it’s produced by the Loscher Brewery which was established in 1924. A wide variety of flavors are available such as Club-Mate IceT Kraftstoff, Club-Mate winter edition, and Club-Mate Granat, among others."
Jaegerbomb,"Jägerbomb is a German mixed drink that was originally made by dropping a shot of Jägermeister into a glass of beer, but the drink has evolved, and today it is usually prepared by combining Red Bull energy drink and a shot of Jägermeister. When mixed with Red Bull, due to the effect of caffeine in the drink, there have been many reports of hospitalized people after excessive consumption of modern Jägerbombs. Nowadays, there are a few more variations on the drink, such as the Jäger-Train, the Jäger-Ring, Turbo Jägerbomb, and Atomic Jägerbomb."
Underberg,"This German herbal liqueur is produced with the aromatic extraction of 43 herbs that results in an amber-colored, herbal drink, with notes of spices and licorice. The base is then aged in oak casks before it is adjusted with fresh spring water to reach the 44% ABV. Underberg is still produced following the original recipe, which dates back to 1851 and is only known by the members of Underberg family. The drink is traditionally enjoyed as a digestif, typically served in the signature tall glasses. It is sold in copyrighted 20ml bottles that are wrapped in straw paper."
Hefeweizen,"Hefeweizen is a German wheat beer originating in Bavaria, where it has become one of the region’s most recognized and widely enjoyed styles. The name combines “hefe,” meaning yeast, and “weizen,” meaning wheat, referring to its unfiltered nature and the high proportion of wheat malt in the grain bill. Hefeweizen is brewed with at least 50% malted wheat alongside pale barley malt, resulting in a hazy, pale golden appearance. The defining characteristic is the yeast strain used during fermentation, which produces signature aromas of banana and clove, along with subtle notes of bubblegum and vanilla. The brewing process employs warm fermentation temperatures that encourage the yeast to express these fruity and spicy phenolic compounds. The beer undergoes bottle conditioning, meaning it is packaged with residual yeast and allowed to naturally carbonate. This secondary fermentation develops fine bubbles and a gentle effervescence that lifts the aroma. Hefeweizen typically has moderate alcohol content, around 4.8–5.5%, and a smooth, creamy texture from both wheat proteins and suspended yeast. Hop bitterness is low, leaving the yeast and wheat to define the flavor profile. Hefeweizen is commonly served in tall, curved glasses that accommodate the large, frothy head and showcase its cloudy body. In Bavaria, it is enjoyed year-round, often with pretzels, sausages, or lighter dishes that complement its refreshing qualities. To pour it properly, the bottle is usually swirled at the end to release the last of the yeast into the glass. The taste is lively and slightly tart, with a soft finish that makes it highly drinkable. The style has influenced wheat beer production worldwide, inspiring brewers across Europe and North America to create their own versions, sometimes with creative interpretations of yeast character and malt composition. German purity laws, or Reinheitsgebot, historically shaped how Hefeweizen was brewed, though wheat beers were once exempt from certain rules due to their importance in Bavarian brewing heritage. Modern producers maintain the focus on yeast-driven aromas and the balance between fruitiness and spice. Hefeweizen remains a staple of beer culture, valued for its distinctive profile and the way it showcases the expressive potential of German brewing yeast. "
Dunkelweizen,"Dunkelweizen is a moderately dark, wheat-based German ale that is often described as a cross between a dunkel and a hefeweizen (weissbier). These refreshing beers typically range from copper to dark brown and are distinguished for banana and clove-like flavors and aromas. Dunkelweizen beers have a malty character, medium body, smooth texture, and medium to high carbonation. Along with clove and banana aromas, some examples display hints of vanilla and bubblegum. The flavor is bready and grainy, often complemented by caramel nuances. Hop flavor and aromas are absent. These fruity and malty beers would pair well with smoked ham, sausages, pork, Mexican dishes, and banana-based desserts. Dunkelweizen originated in Bavaria."
Apfelschorle,"Apfelschorle is a popular beverage originating from Germany (and popular in neighboring Austria and Switzerland), consisting of a mix of apple juice and sparkling mineral water. The drink is well-loved for its refreshing taste and is a healthier alternative to sugary soft drinks, offering a natural sweetness from the apple juice tempered by the crispness of carbonated water. Apfelschorle typically contains a ratio of about 50% to 60% apple juice to 40% to 50% sparkling water, although this can vary according to personal preference or commercial brands. This beverage is especially popular during the warmer months and is commonly found in restaurants, cafes, and supermarkets throughout Germany and neighboring countries. It's also easy to make at home, allowing for adjustments in sweetness and carbonation level to suit individual tastes. "
Gose,"Gose is a German beer style that is usually brewed with the addition of salt, and it is traditionally spiced with coriander. It is characterized by medium sourness, malt and yeast aromas, as well as fruity and salty nuances. It is not known when the style was created, but evidence suggests it was already familiar in the 15th century. Although the style originated in Goslar, in the 18th century, it became a mainstay in Leipzig, where the brewers started producing it, and where it eventually found its spiritual home. Throughout the 19th century, the style was incredibly popular, and Leipzig was even dubbed as the Gose city. Despite its popularity, by 1966, the style completely disappeared. It was reintroduced in the late 1990s by Leipzig brewers, and its reinterpretations are nowadays also produced outside its native location. Although traditional Gose was spontaneously fermented, modern versions are more controlled and usually fermented with ale yeasts and Lactobacillus.  Because of its tart and crisp character, this style is an excellent pairing with seafood, light poultry dishes, citrus flavors, and cheese."
Bayerisches Bier,"Bavaria has been an important beer-producing region for centuries, and all Bavarian beers are produced under 1516 Bavarian Purity Law. The beers are made with high-quality ingredients, which are mostly locally-sourced, and the quality of the beer and the components is continuously checked by scientific institutes. Today, there are more than 600 breweries in Bavaria – nearly half of all the breweries in Germany, and every year, Bavarian brewers produce more than 20 million hectoliters of beer. The styles that appear in the region and that can be labeled as Bayerisches Bier include: Schankbier, Hell/Lager, Pils, Export, Dunkel, Schwarzbier, Märzen/Festbier, Bock, Doppelbock, Weizenschankbier, Weizenbier, Kristallweizen, Rauchbier, Kellerbier/Zwickelbier, and Eisbier/Icebier. "
U-Boot,"U-Boot is a German cocktail consisting of beer and a shot glass filled with vodka that is sunk into the pint glass. The shot of vodka dropped in beer resembles a submarine, hence the name of the cocktail. There are varieties of U-Boot which are popular in Poland, Netherlands (Duikboot), Macedonia (Podmornica), and Mexico (Submarino). "
Feuerzangenbowle,"Feuerzangenbowle is a traditional Christmas beverage in which rum-soaked sugarloaf (zuckerhut) is suspended over a bowl of mulled wine (glühwein). The sugar is placed on a metal grate and is then lit on fire, slowly melting and dripping into mulled wine. The wine is usually made in a special clay or glass vessel similar to a fondue bowl and placed over a small burner. The sugarloaf has to be soaked in overproof rum (a type of rum that contains more than 50 percent alcohol by volume) so that it could be set on fire. As the sugar drips in the wine, it gives it a sweeter and somewhat caramelized flavor. Feuerzangenbowle is traditionally served at German Christmas markets. It became popular after the 1944 comedy Die Feuerzangenbowle."
Kellerbier,"Kellerbier is a type of unfiltered and naturally carbonated lager originating from Franconia, a region in northern Bavaria. The name translates to ""cellar beer,"" referencing the historical practice of storing the beer in cool underground cellars during fermentation and maturation. Unlike most modern lagers that are filtered and pasteurized for clarity and stability, Kellerbier is served unfiltered, which gives it a slightly hazy appearance and a fuller, more complex flavor profile. It represents an older style of German brewing that prioritizes freshness and direct-from-the-source consumption, typically poured directly from wooden barrels or storage tanks at local breweries and beer cellars. The style is usually brewed using pale malts and noble German hops, resulting in a beer that ranges from golden to amber in color, depending on the specific recipe and brewery. Its flavor is characterized by a soft malt presence, mild hop bitterness, and subtle yeast-derived notes due to the suspended sediment and live yeast remaining in the beer. Because it is not pasteurized, Kellerbier has a shorter shelf life and is best consumed fresh, ideally close to the brewery. This freshness contributes to its appeal, as the beer retains volatile compounds and textures that would otherwise be lost in modern filtration and packaging. Kellerbier may be either bottom-fermented, like a lager, or top-fermented in some historical variants, but the majority of commercially recognized versions today follow the lagering method. It is typically conditioned at low temperatures and served at cellar temperature (cool but not cold) to preserve its full range of flavors. The carbonation is lower than in most bottled beers, contributing to a smooth mouthfeel and a rustic quality. Though Kellerbier can be found bottled or on draft in parts of Germany, especially during regional beer festivals, it is most closely tied to small Franconian breweries where it is often consumed directly at the source. Many beer gardens in Bavaria serve Kellerbier alongside local foods such as pretzels, sausages, and cheese spreads, emphasizing its role as a social and culinary staple in the region. Its popularity has grown among beer enthusiasts outside Germany as part of a broader interest in unfiltered, minimally processed beer styles. Breweries that produce Kellerbier typically highlight its authenticity, natural ingredients, and lack of filtration as a point of distinction from more commercial offerings."
Dooley's,"This cream liqueur is prepared with a blend of premium vodka, quality Dutch cream, and best selection of Belgian toffee. It was launched in 2000, and it is produced by the family company BEHN in Eckernförde. Dooley’s is bottled at 17% ABV, and though it is best enjoyed neat over ice, it also incorporates well into a variety of cream-based cocktails. Apart from the original toffee variety, Dooley’s comes in licorice, egg cream, and white chocolate flavor."
Maibock,"Maibock is a Bavarian lager style that first appeared as a special brew to celebrate the beginning of the garden season—hence the name Mai, which translates as May. Falling in the category of Bock styles, these golden to light amber beers usually have a medium body, clean and smooth malt flavors, and grainy, lightly toasted aromas with hints of spices and herbs. They typically range from 6 to 8 % ABV, and they tend to be drier and have more pronounced hop flavors and aromas than other Bocks. Maibock is meant to be a transitional style that falls somewhere between rich winter brews and light summer versions. The prototype is believed to have been coined by Hofbräuhaus brewery, though the style has slightly diverged from its original. Maibock beers pair well with traditional German fare, spicy dishes, and alpine or creamy cheese varieties."
Eisbock,"Eisbock is the strongest beer style that falls in the category of bock beers (bockbier). This beer style is primarily brewed as doppelbock, but then it undergoes freeze distillation—in which the water is partially frozen and then removed. The final result is a brew with more concentrated flavors and a higher concentration of alcohol. Most eisbock beers are clear, and they may range from red to dark brown. Although they always have high alcohol content, usually between 9 to 14% ABV, the alcohol should never be harsh or overpowering. Eisbock beers are full-bodied and intense with strong malt aromas and flavors reminiscent of toast and caramel. Nuances of dark fruit can sometimes be present. Despite its malt-forward profile, the character of eisbock beers should never be cloying or overly sweet. These beers make an excellent aperitif or a digestif, but they can also be paired with rich meat-based dishes and chocolate or caramel desserts. Although it is not certain, eisbock is said to have at the Reichelbräu brewery in 1890. The legend says that kegs of brewed bock were accidentally left on freezing temperatures, and when the ice was removed, the brewers noticed that the beer was more concentrated and potent than the original version. "
Korn,"Korn is a German grain spirit that is traditionally distilled from fermented mash of wheat, rye, buckwheat, barley or oats. This strong colorless drink is never sweetened or flavored, and it has to have a minimum of 32% ABV, but if the alcohol content is higher than 37.5% the drink is named Kornbrand. It is believed that the production of Korn started in the 15th century, and although it is enjoyed throughout the country, it is especially popular in the northern parts of Germany. The drink is usually low-priced, but oak-aging may provide for more complex and better-quality expressions. Korn is mainly enjoyed straight from shot glasses, but it is also commonly combined with carbonated soft drinks, while a popular combination known as Herrengedeck (gentlemen’s menu) includes beer with a shot of Korn."
Spaetlese Riesling,"Spätlese Riesling is one of the categories for late-harvest German Riesling wines. It falls under a broader category of Prädikatswein—which is a classification based on the ripeness level at which the grapes are harvested. Apart from Spätlese, this category also includes Kabinett (the least amount of sugar), Auslese, Beerenauslese, Trockenbeerenauslese, and Eiswein. Spätlese is made from fully ripe grapes, and it is the lightest variety of late harvest wines. The grapes are typically picked one week after regular harvest. However, as the term only refers to the degree of ripeness, these wines can vary in character—from dry to medium-sweet. Their final profile will largely depend on the producer and the winemaking technique. If the fermentation is stopped early, the wines will have a sweeter profile and more amounts of residual sugar, while longer fermentation results in drier wines. Some will also have the additional labeling—spätlese trocken for bone dry wines and spätlese halbtrocken for off-dry, slightly sweet wine. Alcohol level can also suggest the character of these wines. If the ABV falls around or under 11%, these wines will typically be medium-dry. As Riesling is generally packed with bright acidity, Spätlese wines are lively, fresh, and well-balanced. The aroma is usually reminiscent of lime, lemon, apple, and peach, often with a honey-like backbone. Because Spätlese wines are incredibly versatile, they can pair with various dishes. Dry varieties pair well with fish, pork, and poultry, while sweeter styles best pair with spicy dishes, especially with Asian and Mexican fare."
Himbeergeist,"Himbeergeist is a German raspberry spirit that is made by macerating fresh raspberries in neutral alcohol. No artificial flavorings or colorings are added, and the infusion is then distilled before it is bottled. Himbeergeist has to have a minimum of 40% ABV. It results in a clear and colorless spirit that displays clean raspberry aromas. The drink should be served well-chilled, and it is best enjoyed slowly sipped. It is recommended to enjoy it as a digestif. Optionally, it can be mixed with coffee or used in cocktails, and it goes exceptionally well with sparkling wines. Himbeergeist is also incorporated into fruit-based desserts, and it can be used as an ice cream topping. "
Asbach Uralt,"Asbach Uralt is a German brandy that was first distilled in 1892 by Hugo Asbach, a Cologne native. With the knowledge he gained at various French distilleries, Asbach distilled his first batch of brandy and opened a company in Rüdesheim am Rhein. He initially labeled his brandy as Rüdesheim Cognac, but after the Treaty of Versailles, which stipulated that only French products can be named Cognac, Asbach coined the term Weinbrand (wine brandy) and gave his product its current name. Aged in Limousin and German oak, classic Asbach Uralt is an amber-colored brandy that is smooth and warming, with subtle sweetness and peppery nuances that are accompanied by aromas and flavors reminiscent of honey, vanilla, caramel, plums, nuts, chocolate, and coffee. Apart from the classic version, Asbach Uralt is available in several specialty versions that include various aged styles. This brandy is best enjoyed neat, though it is sometimes incorporated into long drinks. It is also one of the ingredients in Rüdesheimer Kaffee."
Swimming Pool,"Swimming Pool is a German cocktail that is similar to Piña Colada. The cocktail combines equal parts vodka and white rum, pineapple juice, heavy cream, coconut cream, and blue Curaçao. To prepare the cocktail, all the ingredients except blue Curaçao are shaken with ice, and the mix is then poured into a glass filled with fresh crushed ice. Some versions are also blended with ice. A splash of blue Curaçao is added last, and it should only partially color the drink. Lastly, it is garnished with a pineapple wedge. Swimming Pool was created by a German bartender Charles Schumann. He probably invented it at the American Bar in Munich, and it most likely originated in the 1970s. The name of the drink is a reference to its blue color attained from blue Curaçao. "
