DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Asiatische Maultaschen-Pfanne,Pan-fried dumplings with Asian-inspired flavors.,"Baden-Württemberg, Austria, Switzerland",Maultaschen,"soy sauce, ginger, garlic, vegetables, onions, sesame oil, rice noodles, carrots, broccoli","boiled, pan-fried","vegetarian, omnivore","lunch, dinner","with beef, with pork, with seafood","savory, umami, aromatic, spicy",pan-frying,15,
Auflauf mit Schweinefilet,Baked casserole with pork tenderloin and vegetables in a creamy sauce.,"Bavaria, Austria, Switzerland",Pork Tenderloin,"pork tenderloin, potatoes, carrots, onions, cream, cheese, nutmeg, salt, pepper",sliced,omnivore,dinner,"with mushrooms, with different cheeses, with different vegetables","savory, creamy, cheesy, buttery, aromatic",baked,45,pork tenderloin
Backerbsen,"Small, fried dough balls, often served with applesauce.","North Rhine-Westphalia, Lower Saxony, Netherlands",Dough,"Flour, yeast, milk, sugar, salt, oil, applesauce",Fried,"vegetarian, omnivore",anytime,"with raisins, with cinnamon","sweet, buttery, creamy",frying,15,
Backfisch mit Kartoffelsalat,Fried fish served with potato salad.,"Hamburg, Schleswig-Holstein, Mecklenburg-Vorpommern, Denmark",Fish,"fish, potatoes, onions, vinegar, mustard, oil, herbs, salt, pepper",fried,"omnivore, halal, kosher",lunch,"different fish types, different potato salad variations","savory, tangy, buttery, aromatic",fried,20,
Badischer Kartoffelsalat,A warm potato salad with a vinegar and oil dressing.,"Baden-Wurttemberg, Rhineland-Palatinate, Switzerland",Potato,"potato, onion, vinegar, oil, mustard, chives, salt, pepper","boiled, sliced","vegetarian, omnivore","lunch, anytime","with bacon, with pickles","sour, savory, aromatic, tangy, buttery","boiling, slicing, mixing",20,
Baeckeoffe,A hearty casserole of marinated meats and potatoes baked in wine.,"Palatinate, Lorraine, Alsace",Potato,"beef, pork, lamb, potatoes, onions, white wine, herbs, salt, pepper",sliced,omnivore,dinner,vegetarian version with root vegetables,"savory, aromatic, tangy, buttery",baking,150,"beef chuck, pork shoulder, lamb shoulder"
Baerlauch-Zaziki,A refreshing dip made with wild garlic and yogurt.,"Bavaria, Austria, Switzerland",Yogurt,"yogurt, wild garlic, cucumber, garlic, lemon juice, olive oil, salt, pepper",fresh,"vegetarian, vegan, halal, kosher",anytime,"with dill, with mint, with roasted red pepper","sour, savory, aromatic, creamy, tangy, earthy",mixing,10,
Bauernbratwurst,"Crusty sausage, typically grilled or pan-fried.","Bavaria, Austria, Switzerland",Pork,"pork, salt, pepper, marjoram, garlic, caraway, paprika, onion, dextrose",grilled,omnivore,anytime,"with cheese, with bacon","savory, smoky, aromatic, nutty",grilling,15,pork shoulder
Bauernfruehstueck,"A hearty breakfast platter with assorted meats, cheeses, and bread.","Bavaria, Austria, Switzerland",Eggs,"eggs, bacon, sausage, ham, cheese, bread, potatoes, onions, tomatoes, herbs",fried,"omnivore, vegetarian",breakfast,"with different meats, with different cheeses, vegetarian","savory, cheesy, buttery, aromatic",frying,20,
Bauernfruehstueck,A hearty breakfast platter with a variety of savory components.,"Bavaria, Austria, Switzerland",Potato,"potato, egg, bacon, sausage, onion, cheese, bread, herbs",sliced,"omnivore, vegetarian",breakfast,"with different types of sausage, with mushrooms, without meat","savory, cheesy, aromatic, buttery, earthy",fried,20,
Baumkuchen,Layered sponge cake baked around a rotating spit.,"Bavaria, Austria, Switzerland",Dough,"flour, sugar, eggs, butter, vanilla, baking powder, lemon zest",baked,"vegetarian, omnivore",anytime,"chocolate, marzipan, rum","sweet, creamy, buttery, aromatic",baked,45,
Bayerische Crepes mit Wurstsalat,Thin pancakes filled with a savory sausage salad.,"Bavaria, Austria, Switzerland",Crepe,"flour, eggs, milk, butter, sausage, vinegar, oil, onions, mustard, pickles",cooked,"omnivore, vegetarian",anytime,"with different sausages, with cheese, with fruit","savory, tangy, buttery, creamy",frying,20,
Bayerischer Krustenbraten,"Roasted pork belly with a crispy crust, often served with dumplings and gravy.","Bavaria, Austria, Switzerland",Pork Belly,"pork belly, onions, caraway seeds, marjoram, garlic, bay leaves, broth, mustard, breadcrumbs, butter",roasted,omnivore,dinner,"Krustenbraten with different meats, vegetarian alternatives","savory, aromatic, buttery, smoky",roasting,150,pork belly
Bayerischer Obazda mit Brezel und Rettich,"A Bavarian cheese spread, traditionally served with pretzels and radish.","Bavaria, Austria, Switzerland",Camembert,"Camembert, butter, paprika, caraway, onion, salt, pepper, radish, pretzel",softened,"vegetarian, omnivore",anytime,"different cheeses, different spice levels","creamy, cheesy, savory, aromatic, mild, buttery",mixing,10,
Bayerischer Wurstsalat,"A salad of sliced sausage, onions, and vinegar.","Bavaria, Austria, Switzerland",Sausage,"sausage, onions, vinegar, oil, mustard, chives, broth, pepper, salt",sliced,"omnivore, halal, kosher","lunch, anytime","with cheese, with pickles, with potatoes","sour, savory, tangy, aromatic",boiling,15,
Bayrisch Creme,Rich custard dessert with whipped cream.,"Bavaria, Austria, Switzerland",Cream,"cream, sugar, egg yolks, vanilla, lemon zest",whipped,"vegetarian, omnivore",anytime,"with fruit, chocolate, caramel","sweet, creamy, aromatic, buttery",whipping,15,
Bayrisch Kraut,Braised cabbage with bacon and onions.,"Bavaria, Austria, Switzerland",Cabbage,"cabbage, bacon, onion, caraway seed, vinegar, lard, broth",braised,"omnivore, vegetarian","lunch, dinner","with dumplings, with potatoes, without bacon","savory, aromatic, tangy, smoky, buttery",braising,60,bacon
Bayrischer Kartoffelsalat,Warm potato salad with vinegar and oil dressing.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, vinegar, oil, mustard, chives, salt, pepper","boiled, sliced","vegetarian, omnivore, halal, kosher","lunch, anytime","with bacon, with sausage, with pickles","sour, savory, aromatic, buttery, tangy","boiling, mixing",20,
Bayrischer Kartoffelsalat mit Speck und Gurke,Warm potato salad with bacon and cucumber.,"Bavaria, Austria, Southern Switzerland",Potato,"potatoes, bacon, cucumber, onion, vinegar, oil, mustard, broth, sugar, salt, pepper","boiled, sliced","omnivore, vegetarian","lunch, dinner, anytime","with mayonnaise, with vinegar and oil","savory, tangy, smoky, aromatic",boiling,20,bacon
Bayrischer Wurstsalat mit Kaese,"A salad of sliced sausage and cheese, typically dressed with vinegar and oil.","Bavaria, Austria, Switzerland",Sausage,"sausage, cheese, onion, vinegar, oil, chives, mustard, broth",sliced,"omnivore, halal, kosher","lunch, anytime","with bread, with potatoes","savory, tangy, aromatic, cheesy",sliced,15,
Beamtenstippe,"A hearty meat and vegetable stew, often served with potatoes or bread.","North Rhine-Westphalia, Lower Saxony, Netherlands",Pork,"pork, potatoes, onions, carrots, celery, beef broth, bay leaf, juniper berries, peppercorns, salt, pepper",diced,omnivore,"lunch, dinner","with beef, with poultry","savory, umami, aromatic, mild, earthy",braising,90,pork shoulder
Beamtenstippe zu Kartoffeln,Breaded pork cutlets served with potatoes.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Pork,"pork, potatoes, flour, eggs, breadcrumbs, oil, salt, pepper, parsley",breaded,omnivore,"lunch, dinner","with different potato dishes, with different sauces","savory, buttery, creamy, mild",fried,20,pork chop
Bechamelkartoffeln DDR Rezept,"Creamy mashed potatoes with a cheesy sauce, a simple comfort food.","Saxony, Thuringia, Brandenburg",Potato,"potato, butter, milk, flour, nutmeg, salt, pepper, cheese",boiled,"vegetarian, omnivore","lunch, dinner","with bacon, with herbs, with garlic","creamy, savory, cheesy, buttery, mild",mashing,25,
Beefsteak,"Pan-fried beef steak, often served with sides.","Austria, Switzerland, Bavaria",Beef,"beef, salt, pepper, oil, butter, herbs",sliced,omnivore,dinner,"pepper steak, stroganoff, tartare","savory, umami, buttery, aromatic",frying,15,sirloin
Bergische Waffeln,"Thin, crispy waffles with a sour cream based filling.","North Rhine-Westphalia, Rhineland, Belgium, Netherlands",Waffle,"flour, sugar, eggs, milk, butter, baking powder, sour cream, lemon zest, vanilla",baked,"vegetarian, omnivore",anytime,"with fruit, with chocolate, savory fillings","sweet, tangy, buttery, creamy",frying,15,
Bergischer Pillekuchen - Kartoffelpuffer mit Speck,"Potato pancakes with bacon, a savory treat.","Rhineland, North Rhine-Westphalia, Belgium, Netherlands",Potato,"potato, onion, flour, egg, bacon, salt, pepper, oil",grated,"omnivore, vegetarian",anytime,"with applesauce, with sour cream, without bacon","savory, smoky, buttery, mild, earthy",frying,15,bacon
Berliner,A fried pastry filled with jam.,"Berlin, Brandenburg, Austria, Poland",Dough,"flour, yeast, sugar, milk, eggs, jam, oil",fried,"vegetarian, omnivore","breakfast, anytime","filled with custard, chocolate, or other fillings","sweet, buttery, creamy",frying,10,
Berliner Currywurst,Fried sausage served with curry ketchup and often served with fries.,"Berlin, Brandenburg, Hamburg",Sausage,"sausage, tomato paste, curry powder, vinegar, sugar, vegetable oil, onions",grilled,"omnivore, halal",anytime,"with fries, with mayonnaise, with cheese","savory, spicy, aromatic, tangy",frying,10,pork
Berliner Eisbein,"Pickled ham hock, often served with potatoes and sauerkraut.","Berlin, Brandenburg, Saxony, Poland",Ham Hock,"ham hock, vinegar, salt, pepper, bay leaf, caraway, cloves, potatoes, sauerkraut",pickled,omnivore,"lunch, dinner","with different sauces, with different side dishes","savory, tangy, smoky, aromatic",pickling,120,
Berliner Pfannkuchen,"A type of doughnut, often filled with jam.","Berlin, Brandenburg, Poland",Dough,"flour, yeast, milk, eggs, sugar, vanilla, jam, oil",fried,"vegetarian, omnivore","breakfast, anytime","filled with custard, chocolate, sugar coated","sweet, creamy, buttery",frying,10,
Berliner ohne Frittieren,Baked dough pastry filled with jam.,"Berlin, Brandenburg, Poland",Dough,"flour, yeast, sugar, milk, eggs, jam, lemon juice",baked,"vegetarian, vegan","breakfast, anytime","filled with various jams, chocolate, custard","sweet, fruity, buttery, creamy",baked,15,
Berliner-Burger,"A burger featuring a sweet, filled donut as the bun.","Berlin, Brandenburg, Poland",Burger Patty,"donut, beef patty, lettuce, tomato, onion, pickles, cheese, burger sauce",cooked,omnivore,"lunch, dinner, anytime","chicken patty, vegetarian patty, vegan patty","savory, cheesy, creamy, buttery, aromatic",frying,15,beef mince
Bienenstich,A sweet cake with a creamy filling and caramelized almond topping.,"Bavaria, Baden-Württemberg, Austria, Switzerland",Cake,"flour, butter, sugar, eggs, vanilla, yeast, cream, honey, almonds",baked,"vegetarian, omnivore",anytime,"different fillings, different types of nuts","sweet, creamy, nutty, buttery, aromatic",baked,30,
Bier Cocktail - Caipirinha Bier,A refreshing beer-based cocktail with a tropical twist.,"Bavaria, Austria, Switzerland",Beer,"beer, lime, sugar, ice",liquid,"vegetarian, vegan, omnivore",anytime,"different beer types, different fruits","sour, fruity, aromatic, bitter",mixing,5,
Bier Cupcakes,Cupcakes infused with beer flavor.,"Bavaria, Austria, Czech Republic",Flour,"flour, sugar, butter, eggs, beer, baking powder, vanilla extract, chocolate chips",baked,"vegetarian, omnivore",anytime,"chocolate, vanilla, caramel, stout","sweet, buttery, creamy, aromatic",baking,25,
Bier Hugo,"Refreshing cocktail with beer, elderflower syrup, lime, and mint.","Bavaria, Austria, Switzerland",Beer,"beer, elderflower syrup, lime, mint, sugar",carbonated,"vegetarian, vegan, omnivore",anytime,"sparkling wine version, fruit additions","sweet, sour, fruity, aromatic, tangy, creamy",mixing,5,
Biercocktail mit Gin,A refreshing cocktail combining beer and gin.,"Austria, Switzerland, Bavaria",Gin,"gin, beer, lemon juice, sugar syrup, ice",liquid,"vegetarian, vegan, omnivore",anytime,"different beer types, fruit additions","bitter, aromatic, fruity, tangy",mixing,5,
Biergulasch mit Spaetzle,"Hearty beef stew braised in beer, served with soft egg noodles.","Bavaria, Swabia, Austria",Beef,"beef, onion, carrot, celery, tomato paste, beer, paprika, marjoram, bay leaf, flour, vegetable oil, spaetzle",braised,"omnivore, anytime",dinner,"pork, venison","savory, umami, aromatic, smoky, buttery",braising,60,beef chuck
Bierkugel (Wurst),"A large, frozen ball of sausage served as a novelty snack.","Bavaria, Austria, Switzerland",Sausage,"pork, beef, marjoram, paprika, garlic, pepper, salt",frozen,omnivore,anytime,"different sausage types, different spices","savory, aromatic, smoky, mild",freezing,10,mixed
Bierpfannkuchen mit Kaese & Speck,"Savory pancakes cooked in beer, filled with cheese and bacon.","Bavaria, Austria, Switzerland",Pancake,"flour, eggs, milk, beer, cheese, bacon, butter, salt, pepper",cooked,"omnivore, vegetarian","lunch, dinner","with different cheeses, with vegetables, sweet version","savory, cheesy, smoky, buttery, creamy, mild",frying,20,bacon
Biersuppe,Hearty soup made with beer and vegetables.,"Bavaria, Austria, Switzerland",Beer,"beer, onions, carrots, celery, potatoes, broth, bacon, herbs, spices",liquid,"omnivore, vegetarian","lunch, dinner","with meat, without meat, with root vegetables","savory, umami, aromatic, smoky, buttery",simmering,30,
Birnen mit Bohnen & Speck,Poached pears served with beans and bacon.,"Bavaria, Austria, Switzerland",Pear,"pears, beans, bacon, onion, vinegar, sugar, water, thyme",poached,"omnivore, vegetarian","lunch, dinner","without bacon, with different beans, with vanilla","sweet, savory, smoky, tangy",poaching,30,bacon
Birnen und Bohnen und Speck,"Pears, beans and bacon simmered in a savory sauce.","Bavaria, Austria, Switzerland",Pears,"pears, beans, bacon, onion, vinegar, sugar, thyme, water",cooked,"omnivore, vegetarian","lunch, dinner","with potatoes, with different types of beans","sweet, sour, savory, aromatic, earthy",simmering,30,bacon
Birnen und Kloesse DDR Rezept,"Poached pears with dumplings, a classic sweet dish.","Thuringia, Saxony, Austria",Pear,"pears, potatoes, flour, milk, lemon, butter, sugar, cinnamon, vanilla",poached,"vegetarian, omnivore","dinner, anytime","different pear varieties, fruit compote, whipped cream","sweet, fruity, creamy, buttery, aromatic",boiling,35,
Birnen-Duftkuchen,A baked cake with pears and a delicate aroma.,"Bavaria, Austria, Switzerland",Pear,"pear, flour, sugar, butter, eggs, baking powder, vanilla, cinnamon, lemon zest",sliced,"vegetarian, omnivore",anytime,"poached pears, crumble topping, different spices","sweet, fruity, aromatic, buttery, creamy, mild",baked,45,
Birnen-Walnuss-Bruschetta mit Handkaese & Rucola,"Toasted bread topped with pears, walnuts, hand cheese, and arugula.","Bavaria, Austria, Switzerland",Pear,"pear, walnut, hand cheese, arugula, bread, olive oil, salt, pepper",sliced,"vegetarian, omnivore","lunch, anytime","different cheese, different nuts, balsamic glaze","sweet, nutty, savory, creamy, fruity, tangy",sliced,10,
Birnenkompott DDR Rezept,"Stewed pears in a sweet syrup, often served warm.","Eastern Europe, Austria, Switzerland",Pear,"pears, sugar, lemon juice, cinnamon, water, vanilla",boiled,"vegetarian, vegan, kosher, halal, omnivore","anytime, breakfast, dinner","with raisins, with apples, with cranberries","sweet, fruity, aromatic, tangy",simmering,20,
Bismarckhering,Pickled herring served with potatoes and onions.,"Northern Europe, Netherlands, Denmark",Herring,"herring, potatoes, onions, vinegar, sugar, bay leaf, allspice, black peppercorns, carrot",pickled,"omnivore, halal, kosher","lunch, anytime","with apples, with gherkins, with beetroot","sour, savory, aromatic",pickling,15,
Blutwurst mit Kartoffelpueree und Sauerkraut,Blood sausage served with mashed potatoes and sauerkraut.,"Bavaria, Rhineland-Palatinate, Austria",Blutwurst,"Blutwurst, potatoes, sauerkraut, onion, marjoram, salt, pepper, butter, milk",sliced,omnivore,dinner,"with apple sauce, with gravy","savory, smoky, earthy, buttery",boiling,20,
Bockwuerstchen,"A short, plump sausage, often served with mustard and bread.","Bavaria, Austria, Switzerland",Pork,"pork, water, salt, pepper, marjoram, nutmeg, garlic, onion, casing",boiled,"omnivore, halal",anytime,"with cheese, smoked, with herbs","savory, smoky, aromatic, mild",boiling,15,pork shoulder
Bockwurst,"Cooked sausage, often served in a bun.","Bavaria, Austria, Switzerland",Pork,"pork, beef, water, paprika, marjoram, garlic, salt, pepper",boiled,"omnivore, halal",anytime,"smoked, grilled","savory, smoky, mild, buttery",boiling,5,
Bohnen einlegen,"Pickled green beans, often served as a side dish or condiment.","North Rhine-Westphalia, Bavaria, Austria, Switzerland",Green beans,"green beans, vinegar, water, salt, sugar, peppercorns, bay leaf, mustard seeds, dill",boiled,"vegetarian, vegan, omnivore",anytime,"sweet and sour, with different herbs, with onions","sour, savory, aromatic, tangy",pickling,30,
Bohneneintopf Rheinischer Art,Hearty bean stew with smoked pork.,"Rhineland, North Rhine-Westphalia, Netherlands",Beans,"beans, smoked pork, onions, carrots, celery, potatoes, broth, bay leaf, marjoram, thyme",boiled,"omnivore, vegetarian","lunch, dinner","without smoked pork, with different beans","savory, smoky, earthy, aromatic",boiling,60,smoked pork belly
Brandenburgische Kueche,A hearty casserole featuring tender meat and vegetables in a rich gravy.,"Brandenburg, Berlin, Saxony, Poland",Pork,"pork, potatoes, onions, carrots, celery, beef broth, bay leaf, juniper berries, marjoram, flour, oil",diced,omnivore,dinner,"chicken, beef, vegetarian","savory, umami, aromatic, earthy",braising,150,pork shoulder
Bratapfel-Kuchen,Baked apple cake with cinnamon and raisins.,"Bavaria, Austria, Switzerland",Apple,"apples, flour, sugar, butter, eggs, raisins, cinnamon, lemon zest, vanilla",baked,"vegetarian, kosher",anytime,"crumble topping, streusel, different fruits","sweet, fruity, aromatic, buttery",baked,45,
Brathering,"A hearty dish of pork, onions, and vinegar.","North Rhine-Westphalia, Lower Saxony, Netherlands",Pork,"pork, onion, vinegar, bay leaf, pepper, salt, caraway, marjoram",sliced,omnivore,"lunch, dinner","with potatoes, with dumplings","savory, tangy, aromatic",braising,60,
Bratkartoffeln,Pan-fried potatoes with onions and seasonings.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, oil, salt, pepper, herbs",sliced,"vegetarian, vegan, omnivore","lunch, dinner, anytime","with bacon, with mushrooms, with paprika","savory, buttery, aromatic",frying,20,
Bratwurst,Grilled or pan-fried pork sausage seasoned with spices.,"Bavaria, Thuringia, Saxony, Austria",Pork,"pork, pork fat, salt, pepper, marjoram, coriander, garlic, onion, paprika",cooked,"omnivore, halal",anytime,"Nuremberg Bratwurst, Thuringer Bratwurst, Rostbratwurst","savory, smoky, aromatic, buttery",grilling,15,pork shoulder
Bratwurst,"Grilled or pan-fried sausage, often served in a bun.","Bavaria, Thuringia, Saxony, Austria",Pork,"pork, beef, salt, pepper, marjoram, caraway, garlic, paprika",cooked,"omnivore, halal","lunch, anytime","Currywurst, Bratwurstsemmel, Nurnberger Bratwurst","savory, smoky, aromatic, mild",grilling,15,pork shoulder
Bratwurst Hot Dog mit Sauerkraut,Grilled sausage served in a bun with sauerkraut and condiments.,"Bavaria, Austria, Switzerland",Bratwurst,"bratwurst, bun, sauerkraut, mustard, ketchup, relish",grilled,omnivore,"lunch, anytime","currywurst, cheese brat, chili cheese brat","savory, smoky, tangy, buttery",grilling,10,pork
Bratwurst-Serviettenknoedel mit Sauerkraut,Bread dumplings served with fried sausage and sauerkraut.,"Bavaria, Austria, Switzerland",Bread Dumpling,"bread, milk, eggs, onion, sausage, sauerkraut, flour, butter",boiled,"omnivore, vegetarian","lunch, dinner","with spinach, with cheese, with mushrooms","savory, aromatic, buttery, tangy",fried,25,
Braune Bratwurst,Pan-fried pork sausage with a brown crust.,"Bavaria, Austria, Switzerland",Pork,"pork, salt, pepper, marjoram, garlic, caraway, coriander, vinegar, dextrose",sliced,"omnivore, halal","lunch, dinner, anytime","with sauerkraut, with mashed potatoes, in a bread roll","savory, smoky, aromatic, mild",frying,15,pork shoulder
Braunkohl,"Braised leafy greens with smoked pork, often served with potatoes and sausage.","North Rhine-Westphalia, Lower Saxony, Hesse, Netherlands",Cabbage,"cabbage, smoked pork belly, onion, potatoes, caraway seeds, juniper berries, vinegar, vegetable broth, bay leaf",braised,"omnivore, anytime","lunch, dinner","with different types of pork, with apples, without meat","savory, smoky, tangy, earthy, aromatic",braising,60,pork belly
Bretzel,Baked bread knot seasoned with salt.,"Bavaria, Baden-Württemberg, Austria",Dough,"flour, water, yeast, salt, lye",baked,"vegetarian, vegan, omnivore",anytime,"pretzel rolls, almond pretzels, chocolate-covered pretzels","savory, salty, buttery, mild",boiling,15,
Brezeln ,Baked pretzel bread with a distinctive knotted shape.,"Bavaria, Baden-Württemberg, Austria, Switzerland",Wheat Flour,"wheat flour, water, yeast, salt, lye, butter",baked,"vegetarian, vegan, omnivore",anytime,"pretzel rolls, pretzel sticks, sweet pretzels","savory, buttery, mild, aromatic",boiling,15,
Brezenknoedel,Bread dumpling with a pretzel flavor.,"Bavaria, Austria, Switzerland",Pretzel,"pretzels, flour, milk, eggs, onion, parsley, butter, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with cheese, with meat, fried","savory, buttery, mild, umami",boiling,25,
Breznknoedel mit Pilzrahm,Bread dumpling with creamy mushroom sauce.,"Bavaria, Austria, Tirol",Bread Dumpling,"bread dumplings, mushrooms, cream, onions, butter, parsley, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with cheese, with bacon","savory, umami, creamy, buttery, mild, earthy",engulfed in sauce,25,
Brokkoli-Eintopf mit Cabanossi,Hearty vegetable stew with smoked sausage.,"Bavaria, Austria, Switzerland",Broccoli,"broccoli, cabanossi, potatoes, carrots, onions, vegetable broth, olive oil, salt, pepper, bay leaf",boiled,"omnivore, vegetarian","lunch, dinner","different types of sausage, different vegetables","savory, umami, aromatic, mild, earthy",simmering,30,
Brombeerkuchen,A baked dessert with a blackberry filling and a crust.,"Bavaria, Baden-Württemberg, Austria",Blackberries,"blackberries, flour, sugar, eggs, butter, lemon juice, vanilla",fresh,"vegetarian, vegan",anytime,"streusel topping, crumble base, different berry combinations","sweet, fruity, tangy, aromatic",baked,45,
Brotpudding,Bread pudding is a baked dessert made from bread and custard.,"Bavaria, Austria, Switzerland",Bread,"bread, milk, eggs, sugar, raisins, vanilla, cinnamon",cubed,"vegetarian, omnivore","breakfast, lunch, dinner, anytime","fruit bread pudding, chocolate bread pudding, savory bread pudding","sweet, creamy, buttery, aromatic",baked,45,
Brotzeit-Spiesse zum Oktoberfest mit Krautsalat,"Appetizer skewers with cabbage salad, perfect for festive gatherings.","Bavaria, Austria, Switzerland",Cheese,"cheese, sausage, pickles, onions, cabbage salad, vinegar, oil, salt, pepper",sliced,"vegetarian, omnivore",anytime,"different cheeses, different sausages, different pickles","savory, tangy, aromatic, mild, buttery",skewering,15,
Buchteln mit Pflaumenmus und Vanillesosse,"Steamed buns filled with plum jam, served with vanilla sauce.","Bavaria, Austria, Switzerland",Dough,"flour, yeast, milk, butter, plum jam, vanilla, sugar, eggs",steamed,"vegetarian, omnivore",dinner,"with different fruits, savory fillings","sweet, fruity, creamy, buttery",steaming,25,
Buchweizenpfannkuchen,"Buckwheat pancakes, often served with a variety of toppings.","Bavaria, Austria, Switzerland",Buckwheat,"buckwheat flour, eggs, milk, water, salt, oil",flour,"vegetarian, vegan, omnivore","breakfast, anytime","savory, sweet, with fruit, with cheese","earthy, nutty, savory, sweet",frying,15,
Buehler Zwetschgenkuchen,Plum cake with a buttery crust and crumble topping.,"Baden-Wurttemberg, Switzerland",Plums,"plums, flour, butter, sugar, eggs, lemon zest, baking powder, cinnamon",sliced,"vegetarian, kosher",anytime,"different plum varieties, with or without crumble","sweet, fruity, buttery, aromatic",baked,45,
Buergerliche Kueche,"A simple, hearty dish featuring potatoes and fried egg.","Bavaria, Austria, Switzerland",Potato,"potato, egg, onion, oil, salt, pepper",sliced,"omnivore, vegetarian","lunch, dinner, anytime","with bacon, with sausage, with cheese","savory, buttery, mild",frying,20,
