"BeverageName","Description","Region","MainIngredient","Ingredient","FlavorProfile","IsCarbonated","AlcoholContent","BeverageType","ServingTemperature","IsGermanStaple"
"Bockbier","Strong, malty lager traditionally brewed in autumn.","Bavaria, Austria, Czech Republic","Malted Barley","Malted barley, hops, water, yeast","malty, bitter, yeasty, caramel-like, smooth","no","6.5","beer","chilled","yes"
"Boza (Getraenk)","A fermented malt beverage with a thick consistency.","Bavaria, Austria, Hungary","Barley","barley malt, water, yeast, sugar","sweet, nutty, yeasty, smooth","no","0.5","fermented beverage","room temperature","no"
"Braunbier","Dark, malty beer with a slightly roasted flavor.","Bavaria, Austria, Switzerland","Barley","Barley, hops, water, yeast","malty, bitter, roasty, earthy, smooth","no","4.8","beer","chilled","yes"
"Braunschweiger Mumme","A dark, fermented beverage with a slightly sweet and malty flavor.","Lower Saxony, Hamburg, Austria","Barley","barley, water, yeast, caramel, spices","malty, yeasty, caramel-like, sweet, spiced","no","2.5","malt beverage","chilled","yes"
"Breslauer Schoeps","A dark, non-alcoholic malt beverage with a bittersweet flavor.","Silesia, Poland, Saxony","Malt","Malt extract, water, caramel, sugar, herbs, juniper berries","bitter, herbal, earthy, spiced, refreshing","no","0.5","malt beverage","chilled","no"
"Broyhan","A traditional fruit-based beverage, often enjoyed as a refreshing drink.","Brandenburg, Saxony-Anhalt, Poland","Lingonberry","Lingonberries, water, sugar, lemon juice","sour, fruity, refreshing, citrusy","no","0.0","juice","chilled","no"
"Burton Ale","A dark, malty ale with a rich and complex flavor.","England, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","malty, bitter, hoppy, caramel-like, nutty, earthy, smooth","no","4.5","beer","room temperature","no"
"Butterbier","A sweet, butterscotch-flavored soda.","North Rhine-Westphalia, Bavaria, Austria","Water","Water, sugar, caramel, sodium bicarbonate, citric acid, flavorings","sweet, caramel-like, creamy, smooth","yes","0.0","soda","chilled","no"
"Cappuccino","Espresso with steamed milk and foamed milk.","Bavaria, Baden-Wurttemberg, Austria","Coffee","Espresso, Milk, Milk Foam","creamy, bitter, smooth, chocolaty","no","0.0","Coffee","hot","no"
"Cassava-Bier","A traditional beer brewed with cassava root for a unique flavor profile.","Bavaria, Austria, Switzerland","Cassava","Cassava, Water, Barley, Hops, Yeast","earthy, bitter, hoppy, yeasty, smooth, dry","no","4.5","beer","chilled","no"
"Champagner-Bier","Beer infused with champagne flavors.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Champagne","fruity, yeasty, smooth, refreshing, citrusy","yes","4.5","Beer","chilled","no"
"Coca-Cola","Classic cola beverage.","Austria, Switzerland, Poland, Czech Republic","Cola","Carbonated water, sugar, caramel color, phosphoric acid, natural flavors, caffeine","sweet, citrusy, refreshing","yes","0.0","soda","chilled","no"
"Colaweizen","Wheat beer flavored with cola.","Bavaria, Austria, Switzerland","Wheat","wheat, cola extract, water, yeast, barley malt, hops","sweet, bitter, fruity, citrusy, refreshing, yeasty","yes","2.5","beer","chilled","no"
"Dampfbier","A lightly steamed beer, brewed and then briefly steamed to reduce its alcohol content.","Bavaria, Austria","Barley","Barley, hops, water, yeast","malty, yeasty, smooth, refreshing, bitter","no","2.5","beer","chilled","yes"
"Diaetbier","Low-calorie beer with reduced alcohol content.","North Rhine-Westphalia, Bavaria, Austria","Barley","Water, barley malt, hops, yeast","bitter, hoppy, dry, refreshing","yes","0.5","beer","chilled","no"
"Diesel","A strong, dark, and roasted malt beverage.","North Rhine-Westphalia, Lower Saxony, Austria","Malted Barley","Malted barley, water, yeast, caramel, hops","bitter, roasty, earthy, caramel-like, smooth","no","1.5","malt beverage","chilled","no"
"Dinkelbier","A beer brewed with spelt.","Bavaria, Austria","Spelt","spelt, water, hops, yeast","earthy, nutty, smooth, malty, refreshing","no","4.8","beer","chilled","no"
"Doppelbock (Bier)","Strong, malty lager with a rich, dark color.","Bavaria, Austria, Czech Republic","Barley","Barley, hops, water, yeast","malty, bitter, yeasty, caramel-like, smooth, creamy","no","7.0","Beer","chilled","yes"
"Doppelcaramel","A rich, caramel-flavored malt beverage.","Bavaria, Austria, Switzerland","Malt","Malt, water, sugar, caramel coloring, hops","sweet, caramel-like, smooth, creamy","no","2.5","malt beverage","chilled","no"
"Doppelter Espresso","A double shot of espresso.","Austria, Switzerland, Bavaria, North Rhine-Westphalia","Coffee Beans","Coffee Beans, Water","bitter, chocolaty, nutty, earthy","no","0.0","Coffee","hot","no"
"Dortmunder Export","A strong, pale lager.","North Rhine-Westphalia, Lower Saxony, Netherlands","Barley","Barley, Hops, Water, Yeast","hoppy, bitter, dry, refreshing, malty","yes","4.8","beer","chilled","yes"
"Dortmunder Helles","A refreshing pale lager with a balanced taste.","North Rhine-Westphalia, Lower Saxony, Netherlands","Barley","Barley, Hops, Water, Yeast","malty, hoppy, refreshing, bitter, smooth","yes","4.8","Beer","chilled","yes"
"Dubbel (Bier)","A strong, dark Belgian-style ale, known for its rich and complex flavor.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","malty, bitter, yeasty, caramel-like, smooth, nutty","no","7.5","Beer","chilled","no"
"Dunkelbier","Dark-colored lager with a rich, toasted flavor.","Bavaria, North Rhine-Westphalia, Austria","Malted Barley","Malted barley, hops, water, yeast","bitter, malty, caramel-like, yeasty, smooth, dry, earthy","no","4.8","beer","room temperature","yes"
"Dunkelbock","Dark, malty lager with a rich, roasted character.","Bavaria, North Rhine-Westphalia, Austria","Malted Barley","Malted Barley, Hops, Water, Yeast","bitter, malty, chocolaty, caramel-like, yeasty, smooth, dry","no","6.0","beer","chilled","yes"
"Dunkler Bock","Dark, rich, malty beer with a dark color.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, water, hops, yeast, caramel malt","malty, bitter, caramel-like, nutty, yeasty, smooth, dry","no","6.3","beer","chilled","yes"
"Dunkles Bier","A dark-colored lager with a rich and full-bodied taste.","Bavaria, North Rhine-Westphalia, Austria","Malted Barley","Malted Barley, Hops, Water, Yeast","malty, bitter, hoppy, caramel-like, yeasty, smooth","no","4.5","beer","chilled","yes"
"Eierlikoer","Creamy egg liqueur with a rich, sweet taste.","Bavaria, Austria, Switzerland","Eggs","eggs, sugar, vanilla, spirits, lemon zest","sweet, creamy, vanilla, nutty","no","15.0","Liqueur","chilled","yes"
"Eisbier","Frozen beer, typically served ice-cold.","Northern, Eastern","Beer","water, malt, hops, yeast, ice","refreshing, hoppy, bitter, smooth","yes","4.8","beer","frozen","no"
"Eisbock (Bier)","A strong, sweet beer produced by freezing and removing ice from a bock beer.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Yeast, Water, Sugar","sweet, bitter, hoppy, malty, fruity, yeasty, smooth, creamy","no","8.0","Beer","chilled","no"
"Eistee (Pfirsich)","Iced tea flavored with peach.","Northern, Western, Eastern","Tea","water, tea, peach juice, sugar, citric acid","sweet, fruity, citrusy, refreshing","yes","0.0","soda","chilled","no"
"Emmerbier","A beer brewed with emmer, an ancient grain.","Bavaria, Baden-Wuerttemberg, Austria","Emmer","Emmer, water, hops, yeast","malty, earthy, nutty, smooth, dry","no","4.8","beer","chilled","no"
"Espresso","Concentrated coffee brewed by forcing hot water through finely-ground coffee beans.","Austria, Switzerland, Italy, Poland","Coffee Beans","Coffee Beans, Water","bitter, smooth, creamy, chocolaty, nutty","no","0.0","Coffee","hot","no"
"Export","A light-bodied lager with a clean taste.","North Rhine-Westphalia, Bavaria, Austria","Barley","Water, Barley, Hops, Yeast","refreshing, hoppy, smooth, bitter","yes","4.8","Beer","chilled","yes"
"Export (Bier)","A pale lager with a clean and crisp taste.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, hops, water, yeast","bitter, hoppy, dry, refreshing, yeasty","yes","5.0","Beer","chilled","yes"
"Fanta (Orange)","A fizzy orange-flavored soda.","Northern, Eastern, Western","Orange","Carbonated water, sugar, orange juice, citric acid, preservatives, colorings","sweet, citrusy, refreshing","yes","0.0","Soda","chilled","no"
"Farbebier","A dark, ruby-red beer with a rich, complex flavor.","Bavaria, Austria, Czech Republic","Barley","Barley, Water, Hops, Yeast, Caramel Malt, Dark Malt","bitter, malty, caramel-like, earthy, smooth, dry","no","4.8","Beer","chilled","no"
"Faro (Bier)","A light, low-alcohol beer with a distinctive tart flavor.","Lower Saxony, North Rhine-Westphalia, Netherlands","Barley","Barley, hops, water, yeast","sour, refreshing, yeasty, bitter","no","2.5","Beer","chilled","yes"
"Fastenbier","Dark, strong beer traditionally brewed before Lent.","Bavaria, Austria, Switzerland","Barley","Barley, hops, water, yeast","bitter, malty, yeasty, caramel-like, earthy","no","7.0","beer","chilled","yes"
"Federweisser","Young, sparkling wine, typically consumed shortly after fermentation.","Rhineland-Palatinate, Baden-Wurttemberg, Austria","Grapes","Grapes, yeast, sugar","fruity, sour, yeasty, refreshing","yes","5.0","Wine","chilled","yes"
"Fruechtetee","Herbal infusion made with fruit pieces and herbs.","Bavaria, Baden-Wurttemberg, Austria","Fruit","fruit pieces, herbs, spices, flowers","fruity, herbal, citrusy, refreshing, floral, spiced","no","0.0","tea","hot","no"
"Fruehlingsbock","A seasonal strong lager brewed in springtime.","Bavaria, Baden-Wuerttemberg, Austria","Barley","Barley, hops, water, yeast","malty, hoppy, bitter, yeasty, smooth","yes","6.5","Beer","chilled","yes"
"Gegorenes Getraenk mit Getreide","Fermented grain beverage with a complex flavor profile.","Bavaria, Austria, Switzerland","Barley","Barley, water, yeast, hops, malt","bitter, malty, yeasty, earthy, smooth, dry","no","4.5","Beer","chilled","yes"
"Geuze","A spontaneously fermented blended beer with a tart and complex flavor profile.","Belgium, Wallonia","Wheat","Wheat, barley, water, hops","sour, fruity, hoppy, yeasty, dry, refreshing","yes","5.0","Beer","chilled","no"
"Gin","A distilled spirit flavored with juniper berries and other botanicals.","Bavaria, North Rhine-Westphalia, Austria, United Kingdom","Juniper Berries","juniper berries, coriander, angelica root, citrus peel, cardamom, cinnamon, botanicals","bitter, herbal, citrusy, spiced, floral, refreshing","no","37.5","spirit","chilled","no"
"Ginger Ale","A sweet, fizzy beverage with a distinctive ginger flavor.","Austria, Switzerland, Bavaria, Rhineland-Palatinate","Ginger","Water, Sugar, Ginger, Lemon Juice, Carbonated Water","sweet, citrusy, spiced, refreshing","yes","0.0","Soda","chilled","no"
"Gluehbier","Warm beer, typically spiced with lemon and sugar.","Bavaria, Austria, Switzerland","Barley","Barley, hops, water, lemon, sugar, spices","sweet, spiced, malty, yeasty, bitter","no","4.5","beer","hot","yes"
"Glutenfreies Bier","Beer brewed without gluten.","Bavaria, North Rhine-Westphalia, Austria","Barley","barley malt, hops, water, yeast","bitter, hoppy, malty, yeasty, refreshing, dry","yes","4.5","beer","chilled","no"
"Gose","A tart and salty wheat beer.","Lusatia, Brandenburg, Saxony, Poland","Wheat","water, wheat malt, barley malt, coriander, sea salt","sour, spiced, refreshing, salty, herbal","yes","4.5","beer","chilled","yes"
"Graetzer","A top-fermented wheat beer with a cloudy appearance.","Bavaria, Austria, Switzerland","Wheat","Wheat, barley, hops, water, yeast","fruity, yeasty, smooth, refreshing, citrusy","yes","4.8","Beer","chilled","yes"
"Grappa","Distilled pomace brandy","Austria, Italy, Switzerland","Grape pomace","Grapes, yeast","bitter, fruity, spiced, earthy","no","40.0","Brandy","room temperature","no"
"Grisette (Bier)","A light-bodied, hazy wheat beer with a slightly tart and refreshing taste.","Bavaria, Austria, Czech Republic","Wheat","Wheat, barley, hops, water, yeast","citrusy, fruity, yeasty, refreshing, smooth","yes","4.8","beer","chilled","no"
"Gruener Tee","A traditional infusion made from processed leaves.","Bavaria, Baden-Wuerttemberg, Austria","Tea Leaves","Tea Leaves, Water","herbal, citrusy, refreshing, bitter, earthy","no","0.0","Tea","hot","no"
"Grutbier","A historic beer style brewed with herbs instead of hops.","North Rhine-Westphalia, Bavaria, Netherlands, Belgium","Water","Water, herbs, malt, yeast","herbal, bitter, earthy, spiced, yeasty","no","4.5","beer","chilled","no"
"Haferbier","A beer made with oats, offering a creamy texture and subtle sweetness.","North Rhine-Westphalia, Bavaria, Austria","Oats","Water, barley, oats, hops, yeast","malty, creamy, smooth, refreshing, slightly sweet","no","4.5","beer","chilled","no"
"Hanfbier","A beer brewed with hemp.","Bavaria, Austria, Switzerland","Hemp","water, barley, hemp, hops, yeast","earthy, bitter, hoppy, herbal","no","4.5","beer","chilled","no"
"Hefezaugel","A cloudy wheat beer with a distinctive tart and tangy flavor.","Bavaria, Austria, Switzerland","Wheat","Wheat, barley, hops, water, yeast","sour, fruity, yeasty, refreshing, smooth","yes","4.5","Beer","chilled","yes"
"Heinslein","A traditional fruit and herb infused beverage.","Bavaria, Austria, Switzerland","Apple","apple, herbs, sugar, water","fruity, herbal, sweet, refreshing","no","0.5","juice","chilled","no"
"Heisse Schokolade","Warm, comforting chocolate beverage.","Bavaria, Austria, Switzerland","Chocolate","Cocoa powder, sugar, milk, water, vanilla","sweet, chocolaty, creamy, smooth, vanilla","no","0.0","Hot Beverage","hot","yes"
"Hellbier","A light-colored lager beer.","Bavaria, North Rhine-Westphalia, Austria","Barley","Water, Barley, Hops, Yeast","hoppy, refreshing, bitter, citrusy, dry","yes","4.5","beer","chilled","yes"
"Heller Bock","Strong, dark lager with a rich and toasted malt character.","Bavaria, North Rhine-Westphalia, Austria","Malted Barley","Malted Barley, Hops, Water, Yeast","malty, bitter, toasty, caramel-like, yeasty, dry","no","6.5","beer","chilled","yes"
"Helles","A pale lager with a clean and balanced taste.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Hops, Water, Yeast","malty, hoppy, smooth, refreshing, bitter","yes","4.8","beer","chilled","yes"
"Helles Bock","A malty, amber-colored lager with a slightly sweet finish.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","malty, sweet, bitter, yeasty, smooth, caramel-like","no","6.3","beer","chilled","yes"
"Helles Lager","A pale lager with a balanced flavor profile.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Hops, Water, Yeast","malty, hoppy, refreshing, smooth, bitter","yes","4.8","beer","chilled","yes"
"Honigbier","A honey-flavored beer with a slightly sweet taste.","Bavaria, Austria, Switzerland","Honey","Water, Barley malt, Honey, Hops, Yeast","sweet, malty, hoppy, herbal, floral","no","4.5","Beer","chilled","no"
"Hopfenbier","A traditional beer brewed with hops.","Bavaria, Austria, Czech Republic","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, malty, earthy, yeasty","no","4.5","beer","chilled","yes"
"Hugo","A refreshing spritzer made with prosecco, elderflower syrup, and mint.","Bavaria, Austria, Switzerland","Prosecco","Prosecco, elderflower syrup, mint, sugar","sweet, citrusy, refreshing, herbal, floral","yes","10.5","spritzer","chilled","no"
"India Pale Ale","A hoppy beer with a pronounced bitterness and citrusy aroma.","Austria, Switzerland, Bavaria, Hamburg","Hops","Water, Malt, Hops, Yeast","bitter, hoppy, citrusy, fruity, dry, refreshing","yes","5.5","beer","chilled","no"
"Jaegermeister","Herbal liqueur with a complex, layered taste.","Lower Saxony, Bavaria, Austria","Herbs","herbs, spices, roots, fruits","bitter, herbal, spiced, earthy, citrusy","no","35.0","liqueur","chilled","yes"
"Johannisbeersaft","A juice made from ripe currants.","Bavaria, Baden-Wuerttemberg, Austria","Currants","currants, water, sugar","sweet, sour, fruity","no","0.0","juice","chilled","no"
"Jopenbier","A strong, dark Belgian ale.","Belgium, Netherlands","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, malty, yeasty, smooth, earthy","no","7.5","beer","chilled","no"
"Kaffee","A brewed beverage typically prepared from roasted coffee beans.","Bavaria, North Rhine-Westphalia, Austria, Switzerland","Coffee Beans","Water, Coffee Beans, Milk, Sugar","bitter, chocolaty, caramel-like, smooth, creamy","no","0.0","Coffee","hot","yes"
"Kaffee mit Milch","Coffee with milk, a common morning drink.","Bavaria, North Rhine-Westphalia, Austria","Coffee","coffee, milk, sugar (optional)","bitter, creamy, smooth, chocolaty","no","0.0","coffee","hot","yes"
"Kakao","Warm, comforting beverage made from cocoa beans.","Bavaria, North Rhine-Westphalia, Austria, Switzerland","Cocoa","Cocoa powder, sugar, milk, water, vanilla","sweet, chocolaty, creamy, smooth, vanilla","no","0.0","Hot Beverage","hot","no"
"Kamillentee","A calming infusion made from chamomile flowers.","Bavaria, Baden-Wuerttemberg, Austria, Switzerland","Chamomile","Chamomile flowers, water","herbal, floral, bitter, refreshing","no","0.0","Herbal Infusion","hot","yes"
"Karottensaft","Juice made from carrots.","Bavaria, Austria, Switzerland","Carrot","carrot, water, lemon juice, apple juice","sweet, earthy, citrusy, refreshing","no","0.0","juice","chilled","no"
"Kastanienbier","A dark, spiced beer flavored with chestnuts.","Bavaria, Austria, Switzerland","Chestnuts","water, malt, chestnuts, hops, yeast, spices","bitter, spiced, nutty, earthy, yeasty, smooth","no","4.5","beer","chilled","no"
"Kellerbier","Unfiltered, naturally cloudy lager beer.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, hops, water, yeast","hoppy, yeasty, bitter, refreshing, earthy","yes","4.8","beer","chilled","yes"
"Keut","A traditional fruit-based drink, often consumed during festivities.","Bavaria, Austria, Switzerland","Quince","quince, water, sugar, lemon juice","sour, fruity, citrusy, refreshing","no","0.0","juice","chilled","yes"
"Kirschsaft","A juice made from cherries.","Bavaria, Baden-Wuerttemberg, Austria","Cherries","cherries, water, sugar","sweet, fruity, sour, refreshing","no","0.0","juice","chilled","no"
"Knuppbier","A dark, strong wheat beer with a roasted malt character.","Bavaria, Austria","Wheat","wheat malt, barley malt, hops, water, yeast","malty, bitter, yeasty, smooth, earthy","no","6.5","beer","chilled","yes"
"Koelsch (Bier)","A light-bodied, crisp beer with a distinctive fruity aroma.","Cologne, North Rhine-Westphalia, Aachen, Euskirchen","Barley","Barley, hops, water, yeast","hoppy, crisp, refreshing, bitter, yeasty","yes","4.8","Beer","chilled","yes"
"Korn","A distilled spirit, often enjoyed neat or in cocktails.","North Rhine-Westphalia, Bavaria, Austria","Grain","Grain, water, yeast","smooth, earthy, creamy, nutty, caramel-like","no","38.0","Spirits","chilled","yes"
"Kovent","A traditional, dark, malty beverage.","North Rhine-Westphalia, Lower Saxony, Netherlands","Barley","Barley malt, water, hops, yeast","malty, bitter, earthy, smooth, dry","no","2.5","Beer","chilled","no"
"Kraeusenbier","A traditional unfiltered wheat beer with a creamy head.","Bavaria, Austria, Czech Republic","Wheat","wheat, barley, hops, water, yeast","yeasty, creamy, smooth, refreshing, nutty, malty","yes","4.5","beer","chilled","yes"
"Kraeuterlikoer","Herbal liqueur with a complex flavor profile.","Bavaria, Austria, Switzerland","Herbs","herbs, spices, sugar, alcohol","bitter, herbal, spiced, sweet","no","15.0","liqueur","chilled","yes"
"Kraeutertee","Infused herbal infusion.","Bavaria, Baden-Wurttemberg, Austria, Switzerland","Herbs","chamomile, peppermint, lemon balm, elderflower, anise, fennel, hibiscus","herbal, floral, citrusy, bitter, sweet","no","0.0","tea","hot","yes"
"Kriek","Cherry-flavored lambic beer.","Belgium, Wallonia","Cherries","water, barley, cherries, sugar, yeast","sour, fruity, yeasty, refreshing, bitter","yes","3.5","beer","chilled","no"
"Kristallweizen","Wheat beer with added fruit and sparkling water.","Bavaria, Austria, Switzerland","Wheat","wheat malt, barley malt, hops, fruit, sparkling water","fruity, hoppy, refreshing, citrusy, yeasty","yes","2.5","beer","chilled","yes"
"Lagerbier","A pale, golden beer, typically crisp and clean.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, refreshing, dry, malty","yes","4.8","Beer","chilled","yes"
"Lambic","A spontaneously fermented wheat beer with a tart and complex flavor.","Brussels, Wallonia, Limburg","Wheat","Wheat, barley, hops, fruit, sugar","sour, fruity, yeasty, refreshing, bitter","yes","5.0","Beer","chilled","no"
"Latte Macchiato","Espresso with steamed milk and foamed milk.","Austria, Switzerland, Bavaria, North Rhine-Westphalia","Espresso","Espresso, Milk, Milk Foam","creamy, smooth, bitter, chocolaty","no","0.0","Coffee","hot","no"
"Leckbier","A low-alcohol malt beverage.","North Rhine-Westphalia, Lower Saxony, Netherlands","Malt","Malt, water, hops, yeast","malty, bitter, yeasty, refreshing","no","0.5","malt beverage","chilled","no"
"Lichtenhainer","A traditional wheat beer with a distinctive, slightly acidic taste.","Saxony, Thuringia, Bavaria, Czech Republic, Poland","Wheat","Wheat, barley, hops, water, yeast","sour, fruity, yeasty, refreshing, citrusy","yes","4.8","Beer","chilled","no"
"Maerzenbier","A copper-colored lager traditionally brewed in March.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Hops, Water, Yeast","malty, hoppy, bitter, yeasty, smooth, dry","no","5.2","beer","chilled","yes"
"Maibock","Strong, amber-colored lager with a rich, toasty malt profile.","Bavaria, Rhineland-Palatinate, Austria","Malted Barley","Malted barley, hops, water, yeast","malty, hoppy, bitter, caramel-like, nutty","no","6.5","beer","chilled","yes"
"Maisbier","A beer-like beverage made from corn.","Bavaria, Austria, Switzerland","Corn","corn, water, malt, hops, yeast","malty, earthy, bitter, smooth, refreshing","no","2.5","beer","chilled","no"
"Makgeolli","Traditional Korean rice wine with a milky appearance.","Austria, Switzerland","Rice","rice, water, yeast, fruit","sweet, creamy, yeasty, fruity","no","6.5","wine","chilled","no"
"Malzbier","A low-alcohol malt beverage with a distinctive flavor.","North Rhine-Westphalia, Bavaria, Austria","Malt Extract","Malt extract, water, hops, yeast","sweet, malty, bitter, refreshing","yes","0.5","malt beverage","chilled","yes"
"Malztrunk","A traditional, lightly fermented beverage made from malted barley.","North Rhine-Westphalia, Lower Saxony, Austria","Malted Barley","Malted Barley, Water, Yeast, Sugar","sweet, malty, smooth, refreshing, yeasty","no","2.5","Non-alcoholic Beer","chilled","yes"
"Milchkaffee","Coffee with added milk.","Austria, Switzerland, Bavaria, North Rhine-Westphalia","Coffee","Coffee, Milk, Sugar","sweet, creamy, smooth, chocolaty","no","0.0","Coffee","hot","yes"
